passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
1,1,QY0101,长春重庆路,2,true,2003-01-16 00:00:00.0,,,,2.00,1.00,0.00,1.00,0,长春,0,,东北,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:25.747,2014-12-02 00:00:00.0,00 00 00 00 06 25 77 22,2,2,,0.00,0.00,,QY0101,,,,181,5,,,,
2,2,SG01,长沙万达广场,49,false,2003-06-19 00:00:00.0,,,,100000.00,50000.00,0.00,40000.00,300,长沙,2,,华中,,,,150000.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:25.807,2013-12-25 15:39:27.647,00 00 00 00 06 25 77 23,3,0,,,,,SG01,,,,176,5,,,,
3,3,SG02,南昌万达广场,36,false,2003-08-28 00:00:00.0,,,,2.00,1.00,6929.00,1.00,1,南昌,2,2,华南,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:25.873,2013-12-25 15:40:11.127,00 00 00 00 06 25 77 24,1,2,,1.00,1.00,,SG02,,,,174,5,,,,
4,4,QY0201,济南泉城路,3,false,2003-09-17 00:00:00.0,,,,1.00,1.00,0.00,1.00,0,济南,0,,华北,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:25.91,2016-09-02 00:00:00.0,00 00 00 00 06 25 77 25,5,2,,0.00,0.00,,QY0201,,,,173,5,,,,
5,5,QY0301,青岛台东路,4,false,2003-09-25 00:00:00.0,,,,,,0.00,,,,,,华中,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.037,2015-07-16 15:30:04.183,00 00 00 00 06 25 77 26,3,0,,,,,QY0301,,,,173,5,,,,
6,6,QY0401,南京新街口,,true,2004-01-01 00:00:00.0,,,,,,0.00,,,,,,华中,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.097,2011-04-12 22:34:16.14,00 00 00 00 06 25 77 27,3,0,,,,,QY0401,,,,169,5,,,,
7,7,QY0601,天津金街,7,false,2003-12-24 00:00:00.0,,,,,,100.00,,,,,,东北区,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.18,2015-07-16 15:30:46.257,00 00 00 00 06 25 77 28,,0,,,,,QY0601,,,,170,5,,,,
8,8,SG03,南宁万达广场,48,false,2004-07-17 00:00:00.0,,,,,,0.00,,,,,,华南区,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.253,2013-12-25 15:40:20.89,00 00 00 00 06 25 77 29,,0,,,,,SG03,,,,163,5,,,,
9,9,QY0701,武汉江汉路,8,true,2004-12-18 00:00:00.0,,,,,,0.00,,,,,,华中,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.333,2011-04-12 22:34:16.14,00 00 00 00 06 25 77 2a,3,0,,,,,QY0701,,,,158,5,,,,
10,10,QY0801,哈尔滨中央大街,,true,2005-04-15 00:00:00.0,,,,,,0.00,,,,,,东北区,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.453,2011-04-12 22:34:16.14,00 00 00 00 06 25 77 2b,,0,,,,,QY0801,,,,154,5,,,,
11,11,SG04,大连万达广场,39,false,2005-12-24 00:00:00.0,,,,,,100000000.10,,,,,,东北区,,,,0.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.543,2013-12-25 15:39:54.807,00 00 00 00 06 25 77 2c,,0,,,,,SG04,,,,146,5,,,,
12,12,QY1201,宁波万达广场,,true,2006-12-22 00:00:00.0,,,,1.00,1.00,0.00,1.00,100,宁波,3,,华南区,,,,1.00,,2011-03-30 18:10:26.33,2018-02-26 10:10:26.613,2011-05-06 00:00:00.0,00 00 00 00 06 25 77 2d,0,3,,,,,QY1201,,,,134,5,,,,
13,13,QY1001,上海五角场,11,true,2006-12-23 00:00:00.0,,,,172649.00,142605.00,0.00,30044.00,0,上海,1497,,华东,,,,198765.39,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.393,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 b9,5490,4,,198765.39,175089.92,1000107,QY1001,4380,A类,39,138,5,上海五角场万达广场,1,0,1900-01-01 00:00:00.0
15,15,QY0802,哈尔滨香坊,9,true,2007-10-25 00:00:00.0,,,,75364.00,63021.00,0.00,12343.00,441,哈尔滨,1498,1,东北,,,,88687.93,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.397,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ba,5502,4,,88687.93,74300.98,1000297,QY0802,5300,A类,157,128,5,哈尔滨香坊万达广场,1,1,1900-01-01 00:00:00.0
16,16,QY1301,成都锦华路,14,true,2007-12-22 00:00:00.0,,,,127925.00,102727.00,0.00,25198.00,0,成都,1498,,西南,,,,146451.72,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.397,1900-01-01 00:00:00.0,00 00 00 00 06 29 60 90,5397,4,,146451.72,132135.24,1000284,QY1301,4411,A类,312,126,5,成都锦华路万达广场,1,0,2017-02-20 00:00:00.0
17,17,QY1101,西安碑林,12,true,2008-05-16 00:00:00.0,,,,83946.00,69350.00,0.00,14596.00,0,西安,1498,,西北,,,,98539.60,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.4,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 bb,5565,4,,98539.60,83122.38,1000293,QY1101,4334,A类,306,121,5,西安李家村万达广场,1,1,1900-01-01 00:00:00.0
18,18,QY0902,北京石景山,10,true,2008-12-20 00:00:00.0,,,,84637.00,70899.00,0.00,13738.00,0,北京,1497,,华北,,,,97211.58,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.407,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 bc,5503,4,,97211.58,83436.84,1000265,QY0902,4405,A类,38,114,5,北京石景山万达广场,1,1,1900-01-01 00:00:00.0
19,19,SG05,苏州平江,23,true,2009-09-17 00:00:00.0,,,,74787.00,47855.00,0.00,26932.00,0,苏州,1498,,华东,,,,94233.87,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.42,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 bd,5490,3,,94233.87,73852.35,1000296,SG05,4330,B类,213,105,5,苏州平江万达广场,1,0,2015-10-31 00:00:00.0
20,20,QY1002,上海周浦,11,true,2009-09-19 00:00:00.0,,,,98014.00,77379.00,0.00,20635.00,0,上海,1497,,华东,,,,117381.34,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.423,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 be,5490,3,,117381.34,97504.06,1000274,QY1002,4379,A类,39,105,5,上海周浦万达广场,1,1,1900-01-01 00:00:00.0
21,21,QY0501,沈阳太原街,6,true,2009-11-20 00:00:00.0,,,,43381.00,10607.00,0.00,32774.00,292,沈阳,1498,4,东北,,,,66006.96,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.427,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 bf,5502,3,,66006.96,41341.63,1000277,QY0501,4337,A类,243,103,5,沈阳太原街万达广场,1,0,1900-01-01 00:00:00.0
22,22,QY0302,青岛CBD,4,true,2009-11-27 00:00:00.0,,,,81371.00,55321.00,0.00,26050.00,0,青岛,1498,,华北,,,,108115.57,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.43,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c0,5503,3,,108115.57,84658.13,1000271,QY0302,4390,B类,281,103,5,青岛CBD万达广场,1,0,2015-05-31 00:00:00.0
23,23,SG06,重庆南坪,37,true,2009-12-11 00:00:00.0,,,,76730.00,50266.00,0.00,26464.00,0,重庆,1498,,西南,,,,99836.27,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.433,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c1,5397,3,,99836.27,75437.74,1000294,SG06,4329,A类,379,102,5,重庆南坪万达广场,1,0,2015-10-31 00:00:00.0
24,24,QY0402,南京建邺,5,true,2009-12-18 00:00:00.0,,,,120973.00,97585.00,0.00,23388.00,0,南京,1498,,华东,,,,144179.67,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.437,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c2,5490,3,,144179.67,118141.42,1000289,QY0402,4384,A类,211,102,5,南京建邺万达广场,1,1,1900-01-01 00:00:00.0
25,25,QY1102,西安民乐园,12,true,2009-12-19 00:00:00.0,,,,65238.00,32598.00,0.00,32640.00,0,西安,1498,,西北,,,,106886.80,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.437,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c3,5565,3,,106886.80,64253.15,1000290,QY1102,4335,A类,306,102,5,西安民乐园万达广场,1,0,2017-02-20 00:00:00.0
26,26,SG07,河南洛阳,35,true,2009-12-22 00:00:00.0,,,,58552.00,50031.00,0.00,8521.00,0,洛阳,1499,,华中,,,,67073.66,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.44,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c4,5618,3,,67073.66,57933.98,1000300,SG07,4332,A类,142,102,5,洛阳万达广场,1,1,1900-01-01 00:00:00.0
27,27,QY0502,沈阳铁西,6,true,2010-08-20 00:00:00.0,,,,85892.00,57417.00,0.00,28475.00,846,沈阳,1498,1,东北,,,,113323.12,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.44,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c5,5502,3,,113323.12,84783.68,1000266,QY0502,4338,C类,243,94,4,沈阳铁西万达广场,1,0,2015-03-15 00:00:00.0
28,28,SG08,无锡滨湖,23,true,2010-09-17 00:00:00.0,,,,95563.00,75016.00,0.00,20547.00,0,无锡,1498,,华东,,,,116044.25,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.44,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c6,5490,3,,116044.25,92978.36,1000288,SG08,4412,A类,216,93,4,无锡滨湖万达广场,1,1,1900-01-01 00:00:00.0
29,29,QY0102,长春红旗街,2,true,2010-10-29 00:00:00.0,,,,67485.00,34019.00,0.00,33466.00,830,长春,1498,1,东北,,,,101338.42,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.443,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c7,5502,3,,101338.42,65412.05,1000276,QY0102,4370,A类,201,92,4,长春红旗街万达广场,1,0,2015-03-31 00:00:00.0
30,30,SG09,包头青山,45,true,2010-11-04 00:00:00.0,,,,102943.00,79113.00,0.00,23830.00,779,包头,1499,1,西北,,,,126560.39,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.443,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c8,5565,3,,126560.39,101780.45,1000302,SG09,4386,B类,248,91,4,包头青山万达广场,1,1,1900-01-01 00:00:00.0
31,31,SG10,呼和浩特,45,true,2010-11-05 00:00:00.0,,,,98455.00,77260.00,0.00,21195.00,925,呼和浩特,1498,1,西北,,,,118195.50,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 c9,5565,3,,118195.50,97018.33,1000303,SG10,4372,A类,251,91,4,呼和浩特万达广场,1,1,1900-01-01 00:00:00.0
32,32,QY0202,济南魏家庄,3,true,2010-11-19 00:00:00.0,,,,82143.00,56450.00,0.00,25693.00,0,济南,1498,,华北,,,,108767.84,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ca,5503,3,,108767.84,80485.88,1000263,QY0202,4367,B类,276,91,4,济南魏家庄万达广场,1,0,2015-07-31 00:00:00.0
33,33,QY0602,天津河东,7,true,2010-11-20 00:00:00.0,,,,97261.00,75225.00,0.00,22036.00,0,天津,1498,,华北,,,,119039.79,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 cb,5503,1,,119039.79,96114.03,1000275,QY0602,4343,A类,330,91,4,天津河东万达广场,1,1,1900-01-01 00:00:00.0
34,34,SG11,湖北襄阳,8,true,2010-11-26 00:00:00.0,,,,87791.00,65802.00,0.00,21989.00,950,襄阳,1499,1,华中,,,,109144.07,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 cc,5618,3,,109144.07,86429.09,1000281,SG11,4374,A类,182,91,4,襄阳万达广场,1,1,1900-01-01 00:00:00.0
35,35,SG12,湖北宜昌,8,true,2010-11-27 00:00:00.0,,,,79457.00,60417.00,0.00,19040.00,720,宜昌,1501,1,华中,,,,96994.94,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 cd,5618,3,,96994.94,78533.80,1000298,SG12,4409,A类,184,91,4,宜昌万达广场,1,0,2016-03-15 00:00:00.0
36,36,QY1202,宁波江北,13,true,2010-12-10 00:00:00.0,,,,81810.00,53190.00,0.00,28620.00,0,宁波,1498,,东南,,,,94819.77,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ce,5563,3,,94819.77,80673.03,1000264,QY1202,4392,B类,373,90,4,宁波江北万达广场,1,0,2015-08-20 00:00:00.0
37,37,SG13,广州白云,28,true,2010-12-17 00:00:00.0,,,,90172.00,70365.00,0.00,19807.00,1241,广州,1497,1,华南,,,,109709.99,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.447,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 cf,5396,3,,109709.99,88983.40,1000280,SG13,4375,A类,83,90,4,广州白云万达广场,1,1,1900-01-01 00:00:00.0
38,38,QY1203,绍兴柯桥,33,true,2010-12-17 00:00:00.0,,,,93808.00,62300.00,0.00,31508.00,0,绍兴,1499,,东南,,,,121598.18,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.45,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d0,5563,3,,121598.18,91212.97,1000295,QY1203,4393,B类,375,90,4,绍兴柯桥万达广场,1,0,2015-08-31 00:00:00.0
39,39,QY0702,武汉菱角湖,8,true,2010-12-18 00:00:00.0,,,,88156.00,62255.00,0.00,25901.00,938,武汉,1498,1,华中,,,,112794.70,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.457,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d1,5618,3,,112794.70,85443.23,1000292,QY0702,4359,A类,179,90,4,武汉菱角湖万达广场,1,0,2015-10-10 00:00:00.0
40,40,QY1401,福州金融街,15,true,2010-12-22 00:00:00.0,,,,90651.00,71120.00,0.00,19531.00,1200,福州,1498,1,东南,,,,110131.95,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.457,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d2,5563,3,,110131.95,89637.86,1000272,QY1401,4349,B类,57,90,4,福州金融街万达广场,1,1,1900-01-01 00:00:00.0
41,41,SG14,合肥包河,29,true,2010-12-23 00:00:00.0,,,,98873.00,75466.00,0.00,23407.00,1088,合肥,1498,1,中南,,,,122157.49,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.457,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d3,5395,3,,122157.49,97620.69,1000110,SG14,4350,A类,47,90,4,合肥包河万达广场,1,1,1900-01-01 00:00:00.0
42,42,SG15,江苏淮安,5,true,2011-01-07 00:00:00.0,,,,93818.00,66798.00,0.00,27020.00,0,淮安,1501,,华东,,,,114769.76,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d4,5490,3,,114769.76,94065.88,1000270,SG15,4413,B类,209,89,4,淮安万达广场,1,0,2015-04-30 00:00:00.0
43,43,QY1204,宁波鄞州,13,true,2006-12-22 00:00:00.0,,,,193359.00,162177.00,0.00,31182.00,0,宁波,1498,,东南,,,,202293.91,,2011-05-06 16:09:06.78,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d5,5563,4,,202293.91,169271.68,1000109,QY1204,4394,A类,373,138,5,宁波鄞州万达广场,1,0,1900-01-01 00:00:00.0
44,44,QY1003,上海江桥,11,true,2011-06-18 00:00:00.0,,,,104318.00,67325.00,0.00,36993.00,0,上海,1497,,华东,,,,134068.32,,2011-05-24 12:50:56.89,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d6,5490,2,,134068.32,104020.78,1000108,QY1003,4377,A类,39,84,4,上海江桥万达广场,1,0,2015-09-30 00:00:00.0
45,45,45,武汉经开,8,,2011-08-27 00:00:00.0,,,,86447.00,64216.00,0.00,22231.00,500,武汉,1498,1,华中,,,,106097.62,,2011-07-27 08:32:55.637,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d7,5618,2,,106097.62,85796.96,1000301,45,4357,A类,179,82,4,武汉经开万达广场,1,0,2015-10-10 00:00:00.0
46,46,46,江苏镇江,5,,2011-08-12 00:00:00.0,,,,76408.00,53639.00,0.00,22769.00,0,镇江,1501,,华东,,,,97035.96,,2011-07-27 08:34:53.623,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d8,5490,2,,98358.16,75036.12,1000278,46,4354,B类,220,82,4,镇江万达广场,1,0,2015-08-31 00:00:00.0
47,47,47,厦门湖里,32,,2011-09-02 00:00:00.0,,,,98247.00,74422.00,0.00,23825.00,99,厦门,1498,1,东南,,,,119073.60,,2011-08-11 15:08:42.95,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d9,5563,2,,119073.60,97182.88,1000267,47,4361,A类,64,81,4,厦门湖里万达广场,1,1,1900-01-01 00:00:00.0
48,48,48,银川金凤,44,,2011-09-09 00:00:00.0,,,,89157.00,62566.00,0.00,26591.00,0,银川,1499,,西北,,,,107462.05,,2011-08-11 15:11:41.87,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 da,5565,2,,107807.61,88305.20,1000283,48,4353,A类,262,81,4,银川金凤万达广场,1,1,1900-01-01 00:00:00.0
49,49,49,石家庄裕华,10,,2011-09-23 00:00:00.0,,,,116464.00,90664.00,0.00,25800.00,0,石家庄,1498,,华北,,,,138894.47,,2011-08-30 19:12:15.537,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 db,5503,2,,143073.75,115028.25,1000269,49,4371,A类,133,81,4,石家庄裕华万达广场,1,1,1900-01-01 00:00:00.0
50,50,50,武汉楚河汉街,8,,2011-09-30 00:00:00.0,,,,94790.00,0.00,0.00,94790.00,0,武汉,1498,,华中,,,,99537.90,,2011-09-13 10:43:51.823,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 dc,5618,2,,99537.90,95373.87,1000286,50,5303,A类,179,81,4,武汉中央文化区楚河汉街,1,0,1900-01-01 00:00:00.0
51,51,51,郑州中原,35,,2011-10-28 00:00:00.0,,,,91617.00,70281.00,0.00,21336.00,0,郑州,1498,,华中,,,,110537.50,,2011-10-09 17:30:37.72,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 dd,5618,2,,116558.50,90114.64,1000287,51,4348,A类,152,80,4,郑州中原万达广场,1,1,1900-01-01 00:00:00.0
52,52,52,河北廊坊,10,,2011-11-11 00:00:00.0,,,,85526.00,64914.00,0.00,20612.00,0,廊坊,1501,,华北,,,,103377.58,,2011-10-09 17:31:39.047,2018-06-05 00:00:00.467,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 de,5503,2,,103377.58,84672.01,1000282,52,4403,A类,131,79,4,廊坊万达广场,1,1,1900-01-01 00:00:00.0
53,53,53,唐山路南,7,,2011-12-23 00:00:00.0,,,,109650.00,74026.00,0.00,35624.00,0,唐山,1499,,华北,,,,140356.33,,2011-10-24 16:22:47.29,2018-06-05 00:00:00.467,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 df,5503,2,,140356.33,108248.83,1000323,53,4410,A类,134,78,4,唐山路南万达广场,1,0,2015-03-31 00:00:00.0
54,54,54,大庆萨尔图,55,,2011-11-25 00:00:00.0,,,,75363.00,45067.00,0.00,30296.00,0,大庆,1499,,东北,,,,102210.28,,2011-11-01 16:57:57.303,2018-06-05 00:00:00.467,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e0,5502,2,,102210.28,77887.92,1000299,54,4352,B类,155,79,4,大庆萨尔图万达广场,1,0,2015-10-10 00:00:00.0
55,55,55,福州仓山,15,,2011-12-02 00:00:00.0,,,,101630.00,80592.00,0.00,21038.00,2000,福州,1498,1,东南,,,,120285.49,,2011-11-01 16:58:34.757,2018-06-05 00:00:00.467,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e1,5563,2,,121096.44,100088.45,1000268,55,4397,A类,57,78,4,福州仓山万达广场,1,1,1900-01-01 00:00:00.0
56,56,56,常州新北,23,,2011-12-10 00:00:00.0,,,,90885.00,64614.00,0.00,26271.00,0,常州,1499,,华东,,,,113209.47,,2011-11-01 17:01:54.09,2018-06-05 00:00:00.47,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e2,5490,2,,113209.47,89622.97,1000285,56,4398,A类,208,78,4,常州新北万达广场,1,1,1900-01-01 00:00:00.0
57,57,57,泰州海陵,5,,2011-12-09 00:00:00.0,,,,85015.00,56212.00,0.00,28803.00,0,泰州,1501,,华东,,,,110641.98,,2011-11-01 17:02:45.413,2018-06-05 00:00:00.473,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e3,5490,2,,110641.98,83412.77,1000273,57,4373,B类,215,78,4,泰州万达广场,1,0,2015-04-30 00:00:00.0
58,58,58,上海宝山,11,,2012-06-29 00:00:00.0,,,,91913.00,74103.00,0.00,17810.00,0,上海,1497,,华东,,,,109390.80,,2012-05-07 12:39:43.913,2018-06-05 00:00:00.473,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e4,5490,1,,109390.80,87091.36,1000343,58,4378,A类,39,72,4,上海宝山万达广场,1,1,1900-01-01 00:00:00.0
59,59,59,合肥天鹅湖,29,,2012-07-20 00:00:00.0,,,,84120.00,61034.00,0.00,23086.00,1120,合肥,1498,3,中南,,,,104982.40,,2012-06-05 14:45:49.52,2018-06-05 00:00:00.473,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e5,5395,1,,104982.40,83718.34,1000363,59,4351,A类,47,71,4,合肥天鹅湖万达广场,1,1,1900-01-01 00:00:00.0
60,60,60,福建晋江,32,,2012-08-10 00:00:00.0,,,,82737.00,60639.00,0.00,22098.00,0,晋江,1501,,东南,,,,103113.91,,2012-06-28 11:20:01.857,2018-06-05 00:00:00.477,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e6,5563,1,,109622.19,81091.96,1000390,60,4646,B类,384,70,4,晋江万达广场,1,0,2015-03-15 00:00:00.0
