passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
61,61,61,长白山度假小镇,,,2012-07-28 00:00:00.0,,,,32548.00,6780.00,0.00,25768.00,0,白山,0,,东北,,,,0.00,,2012-07-05 09:34:04.83,2018-06-05 00:00:00.477,2015-01-20 00:00:00.0,00 00 00 00 06 29 5f bd,2,1,,0.00,0.00,,61,,,,70,4,,,,
62,62,62,福建宁德,15,,2012-08-11 00:00:00.0,,,,86135.00,59194.00,0.00,26941.00,0,宁德,1501,,东南,,,,109121.06,,2012-07-05 09:34:47.59,2018-06-05 00:00:00.477,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e7,5563,1,,109513.07,85220.97,1000389,62,4628,B类,60,70,4,宁德万达广场,1,0,2015-10-15 00:00:00.0
63,63,63,南昌红谷滩,36,,2012-08-25 00:00:00.0,,,,96639.00,69847.00,0.00,26792.00,0,南昌,1498,,中南,,,,118252.62,,2012-07-19 11:47:13.687,2018-06-05 00:00:00.477,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e8,5395,1,,118252.62,94351.39,1000384,63,4347,A类,226,70,4,南昌红谷滩万达广场,1,1,1900-01-01 00:00:00.0
64,64,64,沈阳北一路,6,,2012-08-31 00:00:00.0,,,,97272.00,67517.00,0.00,29755.00,0,沈阳,1498,,东北,,,,121226.37,,2012-07-24 10:41:21.627,2018-06-05 00:00:00.477,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 e9,5502,1,,125190.60,94568.65,1000392,64,4339,C类,243,70,4,沈阳北一路万达广场,1,0,2015-03-15 00:00:00.0
65,65,65,芜湖镜湖,29,,2012-09-07 00:00:00.0,,,,78663.00,54477.00,0.00,24186.00,0,芜湖,1501,,中南,,,,99517.72,,2012-07-26 14:08:52.773,2018-06-05 00:00:00.477,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ea,5395,1,,99517.72,73400.87,1000387,65,4630,C类,55,69,4,芜湖镜湖万达广场,1,0,2015-03-15 00:00:00.0
66,66,66,无锡江阴,23,,2012-09-22 00:00:00.0,,,,100491.00,67075.00,0.00,33416.00,0,江阴,1499,,华东,,,,129198.85,,2012-07-26 14:12:28.497,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 eb,5490,1,,129198.85,98481.03,1000386,66,4415,D类,385,69,4,无锡江阴万达广场,1,0,2015-07-31 00:00:00.0
67,67,67,青岛李沧,4,,2012-09-21 00:00:00.0,,,,92196.00,55262.00,0.00,36934.00,0,青岛,1498,,华北,,,,120463.13,,2012-07-26 14:13:07.527,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ec,5503,1,,120801.93,90267.65,1000396,67,4346,C类,281,69,4,青岛李沧万达广场,1,0,2015-03-15 00:00:00.0
68,68,68,泉州浦西,32,,2012-09-29 00:00:00.0,,,,100055.00,76365.00,0.00,23690.00,0,泉州,1499,,东南,,,,120358.87,,2012-07-26 14:13:45.813,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ed,5563,1,,128202.26,99622.34,1000391,68,4395,A类,62,69,4,泉州浦西万达广场,1,1,1900-01-01 00:00:00.0
69,69,69,郑州二七,35,,2012-10-13 00:00:00.0,,,,93855.00,73087.00,0.00,20768.00,0,郑州,1498,,华中,,,,112272.06,,2012-07-26 14:14:19.12,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ee,5618,1,,112272.06,91973.58,1000388,69,4643,A类,152,68,4,郑州二七万达广场,1,1,1900-01-01 00:00:00.0
70,70,70,漳州碧湖,32,,2012-10-26 00:00:00.0,,,,96321.00,75759.00,0.00,20562.00,0,漳州,1501,,东南,,,,114735.49,,2012-07-26 14:16:31.52,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ef,5563,1,,114735.49,92439.76,1000397,70,4638,B类,65,68,4,漳州碧湖万达广场,1,0,2015-08-31 00:00:00.0
71,71,71,温州龙湾,13,,2012-11-30 00:00:00.0,,,,117761.00,76716.00,0.00,41045.00,0,温州,1499,,东南,,,,151595.44,,2012-07-26 14:17:19.057,2018-06-05 00:00:00.48,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f0,5563,1,,158818.42,115351.71,1000385,71,4631,D类,377,67,4,温州龙湾万达广场,1,0,2015-03-15 00:00:00.0
72,72,72,江苏太仓,23,,2012-12-07 00:00:00.0,,,,87572.00,60114.00,0.00,27458.00,0,太仓,1501,,华东,,,,111940.38,,2012-07-26 14:18:17.217,2018-06-05 00:00:00.483,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f1,5490,1,,111940.38,85987.98,1000395,72,5323,C类,393,66,4,江苏太仓万达广场,1,0,2015-03-15 00:00:00.0
73,73,73,福建莆田,15,,2012-12-15 00:00:00.0,,,,93371.00,70615.00,0.00,22756.00,0,莆田,1501,,东南,,,,113815.34,,2012-07-26 14:18:53.08,2018-06-05 00:00:00.483,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f2,5563,1,,121300.60,89002.12,1000393,73,4642,B类,61,66,4,莆田万达广场,1,0,2015-08-31 00:00:00.0
74,74,74,绵阳涪城,14,,2012-12-21 00:00:00.0,,,,92462.00,69865.00,0.00,22597.00,0,绵阳,1499,,西南,,,,112185.40,,2012-07-26 14:19:28.93,2018-06-05 00:00:00.483,1900-01-01 00:00:00.0,00 00 00 00 06 29 60 c9,5397,1,,112185.40,91111.90,1000394,74,4645,A类,321,66,4,绵阳涪城万达广场,1,1,1900-01-01 00:00:00.0
75,75,75,成都金牛,14,,2012-12-22 00:00:00.0,,,,115528.00,79634.00,0.00,35894.00,0,成都,1498,,西南,,,,145966.75,,2012-07-26 14:20:11.6,2018-06-05 00:00:00.483,1900-01-01 00:00:00.0,00 00 00 00 06 29 60 ca,5397,1,,150414.45,116407.03,1000383,75,4654,B类,312,66,4,成都金牛万达广场,1,1,1900-01-01 00:00:00.0
76,76,CSKF,长沙开福,49,false,2013-09-27 00:00:00.0,,,,92028.00,57021.00,0.00,35007.00,0,长沙,1498,,中南,,,,125305.42,,2012-09-07 09:52:34.44,2018-06-05 00:00:00.483,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f3,5395,1,,126833.51,88979.66,1000403,CSKF,4399,B类,185,57,3,长沙开福万达广场,1,0,2015-09-30 00:00:00.0
77,77,DLGX,大连高新,39,,2013-05-25 00:00:00.0,,,,110097.00,84734.00,0.00,25363.00,0,大连,1498,,东北,,,,129811.68,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.487,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f4,5502,1,,133039.55,107597.05,1000423,DLGX,5332,B类,235,61,4,大连高新万达广场,1,1,1900-01-01 00:00:00.0
78,78,CCKC,长春宽城,2,,2013-08-16 00:00:00.0,,,,73862.00,39138.00,0.00,34724.00,0,长春,1498,,东北,,,,108809.72,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.487,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f5,5502,1,,108809.72,72403.36,1000463,CCKC,5340,C类,201,58,3,长春宽城万达广场,1,0,2015-07-31 00:00:00.0
79,79,WHHJWD,武汉汉街,8,,2013-09-28 00:00:00.0,,,,58816.00,26290.00,0.00,32526.00,0,武汉,1498,,华中,,,,97303.90,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.487,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f6,5618,1,,97303.90,59579.23,1000483,WHHJWD,5336,B类,179,57,3,武汉汉街万达广场,1,0,2015-09-25 00:00:00.0
80,80,GZFY,广州番禺,28,,2014-11-08 00:00:00.0,,,,82948.00,60701.00,0.00,22247.00,0,广州,1497,,华南,,,,99908.40,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.49,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f7,5396,1,,103801.76,81757.20,1000503,GZFY,5342,B类,83,43,3,广州番禺万达广场,1,0,2015-10-31 00:00:00.0
81,81,YX,江苏宜兴,23,,2013-05-31 00:00:00.0,,,,97225.00,66293.00,0.00,30932.00,0,宜兴,1501,,华东,,,,125706.78,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.49,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f8,5490,1,,125706.78,96247.26,1000523,YX,5334,D类,386,61,4,宜兴万达广场,1,0,2015-03-15 00:00:00.0
82,82,WXHS,无锡惠山,23,,2013-06-21 00:00:00.0,,,,80985.00,51020.00,0.00,29965.00,0,无锡,1498,,华东,,,,103928.60,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.49,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 f9,5490,1,,103928.60,83632.58,1000524,WXHS,5335,B类,216,60,4,无锡惠山万达广场,1,0,2015-10-31 00:00:00.0
83,83,YY,宁波余姚,13,,2013-11-01 00:00:00.0,,,,80905.00,51849.00,0.00,29056.00,0,宁波,1498,,东南,,,,109268.32,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.493,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 fa,5563,1,,109268.32,79566.75,1000543,YY,5341,C类,373,55,3,余姚万达广场,1,0,2015-03-15 00:00:00.0
84,84,SYAT,沈阳奥体,6,,2013-07-26 00:00:00.0,,,,74280.00,45343.00,0.00,28937.00,0,沈阳,1498,,东北,,,,102311.07,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.493,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 fb,5502,1,,102311.07,69022.74,1000544,SYAT,5333,C类,243,59,3,沈阳奥体万达广场,1,0,2015-03-15 00:00:00.0
85,85,DGCA,东莞长安,42,,2013-07-20 00:00:00.0,,,,83033.00,45085.00,0.00,37948.00,0,东莞,1499,,华南,,,,118040.15,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.493,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 fc,5396,1,,117849.12,85822.26,1000545,DGCA,5326,B类,81,59,3,东莞长安万达广场,1,0,2015-03-15 00:00:00.0
86,86,XMJM,厦门集美,32,,2013-06-08 00:00:00.0,,,,67408.00,53338.00,0.00,14070.00,0,厦门,1498,,东南,,,,83619.40,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.493,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 fd,5563,1,,83619.40,66260.82,1000546,XMJM,5343,B类,64,60,4,厦门集美万达广场,1,0,2015-10-10 00:00:00.0
87,87,FS,辽宁抚顺,6,,2013-10-25 00:00:00.0,,,,86372.00,53152.00,0.00,33220.00,0,抚顺,1499,,东北,,,,121614.15,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.493,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 fe,5502,1,,121614.15,84468.22,1000547,FS,5344,D类,237,56,3,抚顺万达广场,1,0,2015-07-31 00:00:00.0
88,88,CQWZ,重庆万州,37,,2013-07-05 00:00:00.0,,,,66857.00,39850.00,0.00,27007.00,0,重庆,1498,,西南,,,,94112.54,,2013-01-11 16:22:14.023,2018-06-05 00:00:00.497,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 ff,5397,1,,94112.54,68730.06,1000563,CQWZ,4396,A类,379,59,3,重庆万州万达广场,1,0,2016-06-30 00:00:00.0
89,89,HEBHX,哈尔滨哈西,9,,2013-09-13 00:00:00.0,,,,119512.00,83698.00,0.00,35814.00,0,哈尔滨,1498,,东北,,,,147479.31,,2013-02-26 14:10:03.257,2018-06-05 00:00:00.497,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 01,5502,1,,147479.31,118169.82,1000583,HEBHX,5330,A类,157,57,3,哈尔滨哈西万达广场,1,1,1900-01-01 00:00:00.0
90,90,XADMG,西安大明宫,12,,2013-11-22 00:00:00.0,,,,76738.00,47265.00,0.00,29473.00,0,西安,1498,,西北,,,,110161.34,,2013-04-09 14:10:11.04,2018-06-05 00:00:00.497,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 02,5565,1,,110161.34,75108.19,1000603,XADMG,5339,A类,306,55,3,西安大明宫万达广场,1,0,2017-02-28 00:00:00.0
91,91,BB,安徽蚌埠,29,,2013-11-29 00:00:00.0,,,,84101.00,57309.00,0.00,26792.00,0,蚌埠,1501,,中南,,,,107760.31,,2013-05-21 10:00:03.0,2018-06-05 00:00:00.497,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 03,5395,1,,107760.31,83084.56,1000623,BB,5324,B类,41,55,3,蚌埠万达广场,1,0,2015-08-31 00:00:00.0
92,92,XZ,徐州云龙,5,,2013-12-06 00:00:00.0,,,,85098.00,50391.00,0.00,34707.00,0,徐州,1499,,华东,,,,115652.66,,2013-05-21 10:00:03.0,2018-06-05 00:00:00.5,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 04,5490,1,,115652.66,85832.85,1000624,XZ,5353,B类,217,54,3,徐州万达广场,1,0,2015-07-31 00:00:00.0
93,93,DD,辽宁丹东,6,,2013-12-20 00:00:00.0,,,,85372.00,55037.00,0.00,30335.00,0,丹东,1501,,东北,,,,113330.54,,2013-05-21 14:00:04.93,2018-06-05 00:00:00.5,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 05,5502,1,,113330.54,82576.00,1000625,DD,5325,D类,236,54,3,丹东万达广场,1,0,2015-10-31 00:00:00.0
94,94,NJJN,南京江宁,5,,2013-12-21 00:00:00.0,,,,97447.00,65719.00,0.00,31728.00,0,南京,1498,,华东,,,,120300.55,,2013-05-21 14:00:04.93,2018-06-05 00:00:00.5,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 06,5490,1,,120300.55,95634.55,1000626,NJJN,5363,A类,211,54,3,南京江宁万达广场,1,1,1900-01-01 00:00:00.0
95,95,GZZC,广州增城,28,,2014-05-16 00:00:00.0,,,,76368.00,54869.00,0.00,21499.00,0,广州,1497,,华南,,,,95817.23,,2013-08-29 10:00:01.7,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 07,5396,1,,98016.85,76060.53,1000643,GZZC,5347,D类,83,49,3,广州增城万达广场,1,0,2015-10-10 00:00:00.0
96,96,CF,内蒙古赤峰,45,,2014-06-20 00:00:00.0,,,,73957.00,40742.00,0.00,33215.00,0,赤峰,1501,,西北,,,,105613.58,,2013-08-29 10:00:01.7,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 08,5565,1,,107046.78,73396.45,1000644,CF,5369,C类,249,48,3,赤峰万达广场,1,0,2015-10-31 00:00:00.0
97,97,MZL,满洲里,45,,2014-06-27 00:00:00.0,,,,44067.00,25707.00,0.00,18360.00,0,满洲里,1501,,西北,,,,60446.51,,2013-08-29 10:00:01.7,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 09,5565,1,,94130.49,42227.36,1000645,MZL,5372,D类,381,48,3,满洲里万达广场,1,0,2015-09-30 00:00:00.0
98,98,WF,山东潍坊,4,,2014-05-23 00:00:00.0,,,,72364.00,48377.00,0.00,23987.00,0,潍坊,1499,,华北,,,,94857.03,,2013-08-29 10:00:01.7,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0a,5503,1,,95224.54,71921.87,1000646,WF,5368,D类,285,49,3,潍坊万达广场,1,0,2015-07-31 00:00:00.0
99,99,SHSJ,上海松江,11,,2014-05-30 00:00:00.0,,,,93688.00,61880.00,0.00,31808.00,0,上海,1497,,华东,,,,115789.92,,2013-10-18 14:00:03.393,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0b,5490,1,,115789.92,92085.70,1000663,SHSJ,5370,A类,39,49,3,上海松江万达广场,1,0,2015-10-31 00:00:00.0
101,101,JN,济宁太白路,3,,2014-07-05 00:00:00.0,,,,65630.00,34595.00,0.00,31035.00,0,济宁,1499,,华北,,,,90394.61,,2013-12-03 18:01:06.51,2018-06-05 00:00:00.503,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0c,5503,1,,90394.61,64414.22,1000664,JN,5364,C类,277,47,3,济宁太白路万达广场,1,0,2015-08-31 00:00:00.0
102,102,JH,浙江金华,13,,2014-07-25 00:00:00.0,,,,72542.00,48151.00,0.00,24391.00,0,金华,1499,,东南,,,,99194.55,,2013-12-09 22:01:12.15,2018-06-05 00:00:00.507,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0d,5563,1,,100053.90,72721.93,1000685,JH,5377,C类,371,47,3,金华万达广场,1,0,2015-07-31 00:00:00.0
103,103,YCXXWDGC,银川西夏,44,,2014-07-18 00:00:00.0,,,,72307.00,55058.00,0.00,17249.00,0,银川,1499,,西北,,,,90985.75,,2013-12-10 18:01:13.17,2018-06-05 00:00:00.507,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0e,5565,1,,91260.75,71534.78,1000704,YCXXWDGC,5371,D类,262,47,3,银川西夏万达广场,1,0,2015-10-31 00:00:00.0
104,104,DGDC,东莞东城,42,,2014-09-12 00:00:00.0,,,,81124.00,58197.00,0.00,22927.00,0,东莞,1499,,华南,,,,103372.65,,2013-12-10 18:01:13.17,2018-06-05 00:00:00.507,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 0f,5396,1,,105465.79,79249.31,1000707,DGDC,5378,A类,81,45,3,东莞东城万达广场,1,1,1900-01-01 00:00:00.0
105,105,FSNH,佛山南海,28,,2014-08-29 00:00:00.0,,,,72251.00,46413.00,0.00,25838.00,0,佛山,1498,,华南,,,,100630.78,,2013-12-11 14:01:15.89,2018-06-05 00:00:00.507,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 10,5396,1,,101143.30,72302.50,1000706,FSNH,5373,A类,82,46,3,佛山南海万达广场,1,0,2015-10-10 00:00:00.0
106,106,CZWJ,常州武进,23,,2014-08-08 00:00:00.0,,,,68986.00,42991.00,0.00,25995.00,0,常州,1499,,华东,,,,90937.58,,2013-12-11 18:01:14.02,2018-06-05 00:00:00.51,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 11,5490,1,,91773.56,68869.72,1000705,CZWJ,5386,D类,208,46,3,常州武进万达广场,1,0,2015-07-31 00:00:00.0
107,107,MAS,安徽马鞍山,29,,2014-09-19 00:00:00.0,,,,74191.00,51145.00,0.00,23046.00,0,马鞍山,1501,,中南,,,,94468.39,,2013-12-11 18:01:14.02,2018-06-05 00:00:00.51,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 12,5395,1,,94468.39,74095.31,1000708,MAS,5379,D类,52,45,3,马鞍山万达广场,1,0,2015-08-31 00:00:00.0
108,108,KMCBD,昆明CBD,41,,2014-10-31 00:00:00.0,,,,78911.00,54349.00,0.00,24562.00,0,昆明,1498,,西南,,,,105727.90,,2014-01-22 18:01:41.383,2018-06-05 00:00:00.51,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 13,5397,1,,105727.90,76180.70,1000744,KMCBD,5380,B类,359,44,3,昆明CBD万达广场,1,1,1900-01-01 00:00:00.0
109,109,JZ,湖北荆州,8,,2014-09-20 00:00:00.0,,,,78927.00,54300.00,0.00,24627.00,0,荆州,1499,,华中,,,,98666.27,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.51,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 14,5618,1,,98931.54,77324.62,1000764,JZ,5376,B类,173,45,3,荆州万达广场,1,0,2015-09-30 00:00:00.0
110,110,LZ,兰州城关,44,,2014-10-24 00:00:00.0,,,,84603.00,63547.00,0.00,21056.00,0,兰州,1498,,西北,,,,104588.24,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 15,5565,1,,104588.24,82711.64,1000765,LZ,5375,A类,72,44,3,兰州城关万达广场,1,1,1900-01-01 00:00:00.0
111,111,LY,福建龙岩,32,,2014-11-07 00:00:00.0,,,,62823.00,44014.00,0.00,18809.00,0,龙岩,1501,,东南,,,,84508.61,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 16,5563,1,,84508.61,59901.84,1000766,LY,5374,D类,58,43,3,龙岩万达广场,1,0,2015-10-31 00:00:00.0
112,112,JM,江门蓬江,28,,2014-11-28 00:00:00.0,,,,73188.00,51689.00,0.00,21499.00,0,江门,1499,,华南,,,,96978.68,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 17,5396,1,,97425.26,71142.27,1000767,JM,5381,D类,86,43,3,江门万达广场,1,0,2015-10-31 00:00:00.0
113,113,FQ,福建福清,15,,2014-12-05 00:00:00.0,,,,65080.00,43434.00,0.00,21646.00,0,福清,1501,,东南,,,,85402.85,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 18,5563,1,,85637.86,65036.53,1000768,FQ,5383,B类,394,42,3,福清万达广场,1,0,2015-10-31 00:00:00.0
114,114,WZPY,温州平阳,13,,2014-12-06 00:00:00.0,,,,69408.00,45637.00,0.00,23771.00,0,温州,1499,,东南,,,,90807.66,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 19,5563,1,,92433.09,68287.92,1000769,WZPY,5384,D类,377,42,3,温州平阳万达广场,1,0,2015-08-31 00:00:00.0
115,115,HZGS,杭州拱墅,33,,2014-12-12 00:00:00.0,,,,75040.00,51986.00,0.00,23054.00,0,杭州,1498,,东南,,,,97251.01,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.513,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1a,5563,1,,98481.40,73316.34,1000770,HZGS,5385,B类,368,42,3,杭州拱墅万达广场,1,0,2015-10-31 00:00:00.0
116,116,NN,南宁青秀,48,,2014-12-18 00:00:00.0,,,,88562.00,67441.00,0.00,21121.00,0,南宁,1498,,华南,,,,110574.93,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.517,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1b,5396,1,,111397.29,85091.14,1000771,NN,4414,B类,111,42,3,南宁青秀万达广场,1,0,2015-10-31 00:00:00.0
117,117,BJTZ,北京通州,10,,2014-11-29 00:00:00.0,,,,90248.00,63159.00,0.00,27089.00,0,北京,1497,,华北,,,,117213.57,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.517,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1c,5503,1,,117213.57,89527.03,1000772,BJTZ,5382,A类,38,43,3,北京通州万达广场,1,1,1900-01-01 00:00:00.0
118,118,YTZF,烟台芝罘,4,,2014-11-21 00:00:00.0,,,,79662.00,55778.00,0.00,23884.00,0,烟台,1499,,华北,,,,104548.57,,2014-01-24 18:01:42.76,2018-06-05 00:00:00.517,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1d,5503,1,,105351.17,76851.66,1000773,YTZF,5387,B类,286,43,3,烟台芝罘万达广场,1,0,2015-10-31 00:00:00.0
120,120,SCGY,四川广元,14,,2015-06-05 00:00:00.0,,,,60227.00,37217.00,0.00,23010.00,0,广元,1501,,西南,,,,87288.47,,2014-08-11 22:01:22.877,2018-06-05 00:00:00.52,1900-01-01 00:00:00.0,00 00 00 00 06 29 60 f5,5397,4,,87566.26,59890.48,1000864,SCGY,5398,B类,317,36,3,四川广元万达广场,1,0,2016-05-31 00:00:00.0
129,122,ZJJX,浙江嘉兴,33,,2015-06-12 00:00:00.0,,,,60471.00,34239.00,0.00,26232.00,0,嘉兴,1499,,东南,,,,90984.52,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.52,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1e,5563,1,,91441.83,60471.18,1000884,ZJJX,5399,C类,370,36,3,浙江嘉兴万达广场,1,0,2016-05-31 00:00:00.0
130,123,YK,辽宁营口,6,,2015-06-19 00:00:00.0,,,,65351.00,38917.00,0.00,26434.00,0,营口,1501,,东北,,,,92714.87,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.52,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 1f,5502,1,,92714.87,63309.54,1000885,YK,5400,B类,245,36,3,营口万达广场,1,0,1900-01-01 00:00:00.0
131,124,SCNJ,四川内江,14,,2015-06-26 00:00:00.0,,,,68197.00,49009.00,0.00,19188.00,0,内江,1501,,西南,,,,89283.16,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.52,1900-01-01 00:00:00.0,00 00 00 00 06 29 60 f8,5397,1,,89649.14,68145.88,1000886,SCNJ,5401,B类,322,36,3,四川内江万达广场,1,0,2016-06-30 00:00:00.0
132,125,HBHS,湖北黄石,8,,2015-07-03 00:00:00.0,,,,58889.00,37383.00,0.00,21506.00,0,黄石,1501,,华中,,,,82640.44,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.523,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 20,5618,1,,83917.88,58891.03,1000887,HBHS,5402,B类,171,35,2,湖北黄石万达广场,1,0,2016-03-15 00:00:00.0
