passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
133,126,GZLG,广州萝岗,28,,2015-07-17 00:00:00.0,,,,71013.00,49150.00,0.00,21863.00,0,广州,1497,,华南,,,,93412.57,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.523,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 21,5396,1,,93588.77,71012.34,1000904,GZLG,5403,A类,83,35,2,广州萝岗万达广场,1,0,2016-03-15 00:00:00.0
134,127,SHJS,上海金山,11,,2015-07-17 00:00:00.0,,,,63664.00,41914.00,0.00,21750.00,0,上海,1497,,华东,,,,86611.99,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.523,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 22,5490,1,,86611.99,61739.42,1000905,SHJS,5404,C类,39,35,2,上海金山万达广场,1,0,2016-03-15 00:00:00.0
135,128,QQHE,齐齐哈尔,55,,2015-08-01 00:00:00.0,,,,62890.00,36738.00,0.00,26152.00,0,齐齐哈尔,1499,,东北,,,,92574.59,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.523,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 23,5502,1,,93183.09,71053.23,1000906,QQHE,5406,C类,164,34,2,齐齐哈尔万达广场,1,0,2016-06-30 00:00:00.0
136,129,AY,河南安阳,35,,2015-07-25 00:00:00.0,,,,66391.00,43319.00,0.00,23072.00,0,安阳,1501,,华中,,,,90532.82,,2014-08-28 16:10:05.63,2018-06-05 00:00:00.523,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 24,5618,1,,91248.30,64901.95,1000907,AY,5405,C类,137,35,2,安阳万达广场,1,0,1900-01-01 00:00:00.0
137,130,GLQX,桂林高新,48,,2015-09-12 00:00:00.0,,,,66084.00,38562.00,0.00,27522.00,0,桂林,1499,,华南,,,,97311.21,,2014-10-19 04:02:52.487,2018-06-05 00:00:00.527,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 25,5396,1,,98100.78,66084.18,1000924,GLQX,5412,C类,106,33,2,桂林高新万达广场,1,0,2016-06-30 00:00:00.0
138,131,NNAJ,南宁安吉,48,,2015-12-05 00:00:00.0,,,,65238.00,40818.00,0.00,24420.00,0,南宁,1498,,华南,,,,92287.17,,2014-11-03 06:02:59.58,2018-06-05 00:00:00.527,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 26,5396,1,,92668.26,63691.85,1000944,NNAJ,5420,C类,111,30,2,南宁安吉万达广场,1,0,1900-01-01 00:00:00.0
139,132,SXWN,陕西渭南,12,,2015-08-07 00:00:00.0,,,,56746.00,39144.00,0.00,17602.00,0,渭南,1501,,西北,,,,77317.72,,2015-01-01 04:03:18.913,2018-06-05 00:00:00.527,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 27,5565,1,,78090.32,55723.60,1000984,SXWN,5407,D类,305,34,2,陕西渭南万达广场,1,0,1900-01-01 00:00:00.0
140,133,DY,山东东营,3,,2015-08-15 00:00:00.0,,,,65185.00,35924.00,0.00,29261.00,0,东营,1501,,华北,,,,95140.45,,2015-01-01 04:03:18.913,2018-06-05 00:00:00.527,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 28,5503,1,,95756.70,65271.32,1000985,DY,5408,C类,274,34,2,东营万达广场,1,0,2016-03-15 00:00:00.0
141,134,XSBN,西双版纳,41,,2015-09-26 00:00:00.0,,,,43631.00,22757.00,0.00,20874.00,0,西双版纳,1501,,西南,,,,63259.97,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.527,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 29,5397,1,,63259.97,41915.62,1000964,XSBN,5413,D类,352,33,2,西双版纳万达广场,8,0,1900-01-01 00:00:00.0
142,135,SDTA,山东泰安,3,,2015-08-21 00:00:00.0,,,,68551.00,47181.00,0.00,21370.00,0,泰安,1499,,华北,,,,89192.27,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2a,5503,1,,90672.73,68550.49,1001004,SDTA,5409,C类,283,34,2,山东泰安万达广场,1,0,1900-01-01 00:00:00.0
143,136,DLKFQ,大连开发区,39,,2015-08-29 00:00:00.0,,,,69020.00,40816.00,0.00,28204.00,0,大连,1498,,东北,,,,97575.32,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2b,5502,1,,98445.32,69004.65,1001005,DLKFQ,5410,C类,235,34,2,大连开发区万达广场,1,0,1900-01-01 00:00:00.0
144,137,FYYZ,阜阳颍州,29,,2015-08-29 00:00:00.0,,,,69533.00,45706.00,0.00,23827.00,0,阜阳,1499,,中南,,,,91173.81,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2c,5395,1,,91878.18,69532.18,1001006,FYYZ,5415,A类,46,34,2,阜阳颍州万达广场,1,1,1900-01-01 00:00:00.0
145,138,JMS,佳木斯,55,,2015-09-12 00:00:00.0,,,,58418.00,39407.00,0.00,19011.00,0,佳木斯,1501,,东北,,,,82515.85,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2d,5502,1,,82983.30,58417.62,1001007,JMS,5411,D类,161,33,2,佳木斯万达广场,1,0,1900-01-01 00:00:00.0
146,139,TYLH,太原龙湖,51,,2015-09-30 00:00:00.0,,,,93170.00,69687.00,0.00,23483.00,0,太原,1498,,华中,,,,115527.17,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2e,5618,1,,115527.17,89815.55,1001008,TYLH,5414,A类,296,33,2,太原龙湖万达广场,1,1,1900-01-01 00:00:00.0
147,140,DGHJ,东莞厚街,42,,2015-11-06 00:00:00.0,,,,64243.00,38312.00,0.00,25931.00,0,东莞,1499,,华南,,,,88348.27,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.53,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 2f,5396,1,,88348.27,63222.16,1001010,DGHJ,5417,B类,81,31,2,东莞厚街万达广场,1,0,1900-01-01 00:00:00.0
148,141,DZ,山东德州,3,,2015-11-06 00:00:00.0,,,,64797.00,38612.00,0.00,26185.00,0,德州,1501,,华北,,,,91703.69,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.533,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 30,5503,1,,93156.23,62779.20,1001011,DZ,5418,D类,273,31,2,德州万达广场,1,0,1900-01-01 00:00:00.0
149,142,LZCZ,柳州城中,48,,2015-11-27 00:00:00.0,,,,72476.00,49910.00,0.00,22566.00,0,柳州,1499,,华南,,,,92201.35,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.537,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 31,5396,1,,93050.34,69963.18,1001012,LZCZ,5419,B类,110,31,2,柳州城中万达广场,1,0,1900-01-01 00:00:00.0
150,143,SZWZ,苏州吴中,23,,2015-12-11 00:00:00.0,,,,70521.00,43838.00,0.00,26683.00,0,苏州,1498,,华东,,,,98475.93,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.537,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 32,5490,1,,98475.93,68729.31,1001013,SZWZ,5421,B类,213,30,2,苏州吴中万达广场,1,0,1900-01-01 00:00:00.0
151,144,NT,南通港闸,23,,2015-12-11 00:00:00.0,,,,63787.00,39924.00,0.00,23863.00,0,南通,1499,,华东,,,,92773.62,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.54,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 33,5490,2,,93154.11,65593.94,1001014,NT,5422,B类,212,30,2,南通万达广场,1,0,1900-01-01 00:00:00.0
152,145,GZNS,广州南沙,28,,2015-12-22 00:00:00.0,,,,66490.00,46678.00,0.00,19812.00,0,广州,1497,,华南,,,,85238.06,,2015-01-10 08:03:20.207,2018-06-05 00:00:00.54,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 34,5396,1,,86187.04,64922.10,1001015,GZNS,5423,B类,83,30,2,广州南沙万达广场,1,0,1900-01-01 00:00:00.0
153,146,CQBN,重庆巴南,37,,2015-10-30 00:00:00.0,,,,73503.00,44450.00,0.00,29053.00,0,重庆,1498,,西南,,,,97403.34,,2015-01-15 18:03:21.2,2018-06-05 00:00:00.54,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 35,5397,1,,98101.45,73190.34,1001009,CQBN,5416,B类,379,32,2,重庆巴南万达广场,1,0,1900-01-01 00:00:00.0
154,147,WCJYQ,武汉万达中心,8,,2011-09-30 00:00:00.0,,,,,,0.00,,,武汉,1498,,华中,,,,66504.70,,2015-07-17 14:00:02.45,2018-06-05 00:00:00.543,2018-01-04 19:41:09.757,00 00 00 00 06 29 62 36,5618,0,,66504.70,66504.70,1001044,WCJYQ,4356,,179,32,2,武汉万达中心,7,0,1900-01-01 00:00:00.0
155,148,NCBY,南昌八一,36,true,2003-08-28 00:00:00.0,,,,27006.00,27006.00,0.00,0.00,,南昌,1498,,中南,,,,27005.73,,2015-10-13 18:00:04.26,2018-06-05 00:00:00.543,2018-01-09 11:23:04.98,00 00 00 00 06 29 62 37,5395,0,,27005.73,27005.73,1001064,NCBY,5431,A类,226,32,2,南昌八一万达广场,1,0,1900-01-01 00:00:00.0
156,149,CCCQL,长春重庆路,2,true,2003-01-16 00:00:00.0,,,,36346.00,36346.00,0.00,0.00,,长春,1498,,东北,,,,35505.91,,2015-10-13 18:00:04.26,2018-06-05 00:00:00.543,2018-01-09 11:40:23.527,00 00 00 00 06 29 62 38,5502,0,,36319.92,35505.91,1001065,CCCQL,5433,A类,201,32,2,长春重庆路万达广场,1,0,1900-01-01 00:00:00.0
157,150,QDTDL,青岛台东路,4,true,2003-09-25 00:00:00.0,,,,27764.00,27764.00,0.00,0.00,,青岛,1498,,华北,,,,27764.39,,2015-10-13 18:00:04.26,2018-06-05 00:00:00.543,2018-01-09 11:23:04.98,00 00 00 00 06 29 62 39,5503,0,,27764.39,27764.39,1001066,QDTDL,5432,A类,281,32,2,青岛台东路万达广场,1,0,1900-01-01 00:00:00.0
158,151,BJCBD,北京CBD,10,true,2006-12-28 00:00:00.0,,,,71636.00,71636.00,0.00,0.00,,北京,1497,,华北,,,,71636.28,,2015-10-13 22:00:03.177,2018-06-05 00:00:00.543,2018-01-09 11:23:04.98,00 00 00 00 06 29 62 3a,5503,0,,71636.28,69390.20,1001067,BJCBD,4406,A类,38,32,2,北京CBD万达广场,1,0,1900-01-01 00:00:00.0
159,152,CD1084,成都蜀都,14,,2016-04-29 00:00:00.0,,,,78640.00,52685.00,0.00,25955.00,0,成都,1498,,西南,,,,107193.30,,2015-10-17 01:00:03.77,2018-06-05 00:00:00.543,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 15,5397,1,,107509.00,77422.04,1001084,CDSD,5445,B类,312,26,2,成都蜀都万达广场,1,0,1900-01-01 00:00:00.0
160,153,HB1104,湖北荆门,8,,2016-06-03 00:00:00.0,,,,67538.00,46133.00,0.00,21405.00,0,荆门,1501,,华中,,,,87692.25,,2015-10-28 10:00:03.947,2018-06-05 00:00:00.547,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 3b,5618,1,,87909.58,66343.07,1001104,HBJM,5466,C类,172,24,2,湖北荆门万达广场,1,0,1900-01-01 00:00:00.0
161,154,XT1105,湖南湘潭,49,,2016-06-10 00:00:00.0,,,,71084.00,43312.00,0.00,27772.00,0,湘潭,1501,,中南,,,,96901.88,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.547,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 3c,5395,1,,97788.96,70071.57,1001105,XT,5479,C类,187,24,2,湘潭万达广场,1,0,1900-01-01 00:00:00.0
162,155,TZ1106,台州经开,13,,2016-06-17 00:00:00.0,,,,61665.00,37951.00,0.00,23714.00,0,台州,1499,,东南,,,,88160.58,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.547,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 3d,5563,1,,88160.58,61665.34,1001106,TZJK,5480,C类,376,24,2,台州经开万达广场,1,0,1900-01-01 00:00:00.0
163,156,ZY1107,四川资阳,14,,2016-06-17 00:00:00.0,,,,64499.00,41222.00,0.00,23277.00,0,资阳,1501,,西南,,,,86214.24,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 19,5397,1,,86979.51,64498.66,1001107,ZY,5478,D类,328,24,2,资阳万达广场,1,0,1900-01-01 00:00:00.0
164,157,JN1108,济南高新,3,,2016-06-18 00:00:00.0,,,,68505.00,40449.00,0.00,28056.00,0,济南,1498,,华北,,,,97364.59,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 3e,5503,1,,97364.59,66764.37,1001108,JNGX,5429,A类,276,24,2,济南高新万达广场,1,0,1900-01-01 00:00:00.0
165,158,WH1109,内蒙古乌海,45,,2016-06-25 00:00:00.0,,,,67626.00,44163.00,0.00,23463.00,0,乌海,1501,,西北,,,,89261.66,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 3f,5565,1,,89562.30,67561.09,1001109,WH,5471,C类,254,24,2,乌海万达广场,1,0,1900-01-01 00:00:00.0
166,159,GD1110,广东湛江,28,,2016-06-25 00:00:00.0,,,,66095.00,43507.00,0.00,22588.00,0,湛江,1499,,华南,,,,92061.34,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 40,5396,1,,92061.34,64445.27,1001110,GDZJ,5424,B类,97,24,2,广东湛江万达广场,1,0,1900-01-01 00:00:00.0
167,160,SP1111,吉林四平,2,,2016-07-01 00:00:00.0,,,,55907.00,30466.00,0.00,25441.00,0,四平,1501,,东北,,,,86950.00,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 41,5502,1,,87516.00,55851.43,1001111,SP,5472,D类,204,23,2,四平万达广场,1,0,1900-01-01 00:00:00.0
168,161,JX1112,黑龙江鸡西,55,,2016-07-15 00:00:00.0,,,,56936.00,39175.00,0.00,17761.00,0,鸡西,1501,,东北,,,,77059.36,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 42,5502,1,,77059.36,55452.14,1001112,JX,5434,D类,160,23,2,鸡西万达广场,1,0,1900-01-01 00:00:00.0
169,162,MD1113,牡丹江,55,,2016-07-22 00:00:00.0,,,,57343.00,30386.00,0.00,26957.00,0,牡丹江,1501,,东北,,,,86208.73,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.55,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 43,5502,1,,87050.73,57342.77,1001113,MDJ,5435,D类,162,23,2,牡丹江万达广场,1,0,1900-01-01 00:00:00.0
170,163,TL1114,内蒙古通辽,45,,2016-07-22 00:00:00.0,,,,67216.00,47224.00,0.00,19992.00,0,通辽,1501,,西北,,,,88479.83,,2015-10-28 14:00:04.013,2018-06-05 00:00:00.553,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 44,5565,1,,88771.16,65424.00,1001114,TL,5426,C类,253,23,2,通辽万达广场,1,0,1900-01-01 00:00:00.0
171,164,XN1115,青海西宁,44,,2016-07-29 00:00:00.0,,,,68595.00,47082.00,0.00,21513.00,0,西宁,1499,,西北,,,,92276.17,,2015-10-28 18:00:03.02,2018-06-05 00:00:00.553,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 45,5565,1,,92536.17,68594.61,1001115,XN,5481,B类,270,23,2,西宁万达广场,1,0,1900-01-01 00:00:00.0
172,165,HB1116,湖北十堰,8,,2016-08-05 00:00:00.0,,,,66515.00,41608.00,0.00,24907.00,0,十堰,1501,,华中,,,,90193.96,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.553,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 46,5618,1,,91087.28,65714.59,1001116,HBSY,5467,C类,176,22,2,湖北十堰万达广场,1,0,1900-01-01 00:00:00.0
173,166,BZ1117,安徽亳州,29,,2016-08-12 00:00:00.0,,,,64208.00,42490.00,0.00,21718.00,0,亳州,1501,,中南,,,,87665.16,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.553,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 47,5395,1,,87819.80,63311.09,1001117,BZ,5473,C类,42,22,2,亳州万达广场,1,0,1900-01-01 00:00:00.0
174,167,YW1118,浙江义乌,13,,2016-09-16 00:00:00.0,,,,66499.00,41145.00,0.00,25354.00,0,义乌,1499,,东南,,,,93514.41,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.557,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 48,5563,1,,94327.20,66498.57,1001118,YW,5469,B类,382,21,2,义乌万达广场,1,0,1900-01-01 00:00:00.0
175,168,WL1119,乌鲁木齐经开,46,,2016-08-12 00:00:00.0,,,,70478.00,47608.00,0.00,22870.00,0,乌鲁木齐,1498,,西北,,,,96045.58,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.557,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 49,5565,1,,96045.58,69188.15,1001119,WLMQJK,5447,C类,350,22,2,乌鲁木齐经开万达广场,1,0,1900-01-01 00:00:00.0
176,169,HF1120,合肥瑶海,29,,2016-09-09 00:00:00.0,,,,63518.00,40178.00,0.00,23340.00,0,合肥,1498,,中南,,,,87119.70,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.557,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4a,5395,1,,87474.70,62672.48,1001120,HFYH,5444,B类,47,21,2,合肥瑶海万达广场,1,0,1900-01-01 00:00:00.0
177,170,YJ1121,吉林延吉,2,,2016-09-09 00:00:00.0,,,,64807.00,42807.00,0.00,22000.00,0,延吉,1501,,东北,,,,86140.08,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.557,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4b,5502,1,,87346.85,64807.56,1001121,YJ,5428,D类,380,21,2,延吉万达广场,1,0,1900-01-01 00:00:00.0
178,171,PJ1122,辽宁盘锦,6,,2016-09-09 00:00:00.0,,,,65593.00,31084.00,0.00,34509.00,0,盘锦,1501,,东北,,,,95953.75,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4c,5502,1,,97349.30,65592.61,1001122,PJ,5448,D类,242,21,2,盘锦万达广场,1,0,1900-01-01 00:00:00.0
179,172,ZZ1128,漳州台商,32,,2017-01-06 00:00:00.0,,,,58142.00,31334.00,0.00,26808.00,0,漳州,1501,,东南,,,,85641.87,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4d,5563,1,,86629.96,58141.33,1001128,ZZTSQ,5468,D类,65,17,2,漳州台商区万达广场,1,0,1900-01-01 00:00:00.0
180,173,SN1131,四川遂宁,14,,2016-10-21 00:00:00.0,,,,65702.00,41761.00,0.00,23941.00,0,遂宁,1501,,西南,,,,90037.52,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 2a,5397,1,,90872.74,65701.37,1001131,SN,5452,C类,325,20,2,遂宁万达广场,1,0,1900-01-01 00:00:00.0
181,174,XZ1132,徐州铜山,5,,2016-10-28 00:00:00.0,,,,65049.00,41352.00,0.00,23697.00,0,徐州,1499,,华东,,,,89251.05,,2015-10-30 14:00:03.537,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4e,5490,1,,89746.55,65048.83,1001132,XZTS,5451,B类,217,20,2,徐州铜山万达广场,1,0,1900-01-01 00:00:00.0
182,175,SR1137,江西上饶,36,,2016-11-25 00:00:00.0,,,,64059.00,36738.00,0.00,27321.00,0,上饶,1499,,中南,,,,89825.69,,2015-10-30 18:00:03.277,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 4f,5395,1,,91128.68,64421.04,1001137,SR,5458,B类,228,19,2,上饶万达广场,1,0,1900-01-01 00:00:00.0
183,176,SZ1141,安徽宿州,29,,2016-12-02 00:00:00.0,,,,59562.00,30186.00,0.00,29376.00,0,宿州,1501,,中南,,,,86571.02,,2015-10-30 18:00:03.277,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 50,5395,1,,89003.42,59561.94,1001141,SZ,5459,D类,53,18,2,宿州万达广场,1,0,1900-01-01 00:00:00.0
184,177,D1143,东莞虎门,42,,2016-12-16 00:00:00.0,,,,68701.00,42578.00,0.00,26123.00,0,东莞,1499,,华南,,,,92756.46,,2015-10-30 18:00:03.277,2018-06-05 00:00:00.56,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 51,5396,1,,93480.52,68700.89,1001143,D*HM,5441,B类,81,18,2,东莞虎门万达广场,1,0,1900-01-01 00:00:00.0
185,178,ZQ1123,重庆永川,37,,2016-09-16 00:00:00.0,,,,67809.00,37034.00,0.00,30775.00,0,重庆,1498,,西南,,,,88500.12,,2015-10-30 22:00:03.33,2018-06-05 00:00:00.563,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 52,5397,1,,88500.12,65542.15,1001123,ZQYC,5427,D类,379,21,2,重庆永川万达广场,6,0,1900-01-01 00:00:00.0
186,179,CD1124,湖南常德,49,,2016-09-16 00:00:00.0,,,,65102.00,30109.00,0.00,34993.00,0,常德,1499,,中南,,,,88681.41,,2015-10-30 22:00:03.33,2018-06-05 00:00:00.563,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 53,5395,1,,88681.41,64218.23,1001124,CD,5474,B类,191,21,2,常德万达广场,6,0,1900-01-01 00:00:00.0
187,180,CD1142,成都青羊,14,,2016-12-10 00:00:00.0,,,,67438.00,39055.00,0.00,28383.00,0,成都,1498,,西南,,,,91051.01,,2015-11-02 18:00:03.353,2018-06-05 00:00:00.563,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 31,5397,1,,92117.59,67437.67,1001142,CDQY,5446,B类,312,18,2,成都青羊万达广场,1,0,1900-01-01 00:00:00.0
188,181,BJ1145,北京丰台科技园,10,,2016-12-22 00:00:00.0,,,,74081.00,35298.00,0.00,38783.00,0,北京,1497,,华北,,,,109672.21,,2015-11-02 18:00:03.353,2018-06-05 00:00:00.567,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 54,5503,1,,109746.15,74046.78,1001145,BJFT,5436,C类,38,18,2,北京丰台万达广场,1,0,1900-01-01 00:00:00.0
189,182,DY1125,四川德阳,14,,2016-09-17 00:00:00.0,,,,65773.00,32144.00,0.00,33629.00,0,德阳,1501,,西南,,,,88776.47,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.567,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 33,5397,1,,88776.47,65274.42,1001125,DY,5475,D类,314,21,2,德阳万达广场,6,0,1900-01-01 00:00:00.0
190,183,LS1126,四川乐山,14,,2016-09-23 00:00:00.0,,,,64461.00,31095.00,0.00,33366.00,0,乐山,1501,,西南,,,,88335.25,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.567,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 34,5397,1,,88335.25,64461.35,1001126,LS,5476,C类,318,21,2,乐山万达广场,6,0,1900-01-01 00:00:00.0
191,184,MZ1127,广东梅州,42,,2016-09-23 00:00:00.0,,,,64976.00,29335.00,0.00,35641.00,0,梅州,1499,,华南,,,,88597.02,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.567,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 55,5396,1,,88597.02,64497.42,1001127,MZ,5477,D类,89,21,2,梅州万达广场,6,0,1900-01-01 00:00:00.0
192,185,SM1129,河南三门峡,35,,2016-10-21 00:00:00.0,,,,64807.00,30270.00,0.00,34537.00,0,三门峡,1501,,华中,,,,87882.07,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.567,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 56,5618,1,,102600.00,64806.86,1001129,SMX,5439,C类,147,20,2,三门峡万达广场,6,0,1900-01-01 00:00:00.0
193,186,YC1130,江西宜春,36,,2016-10-21 00:00:00.0,,,,64919.00,28743.00,0.00,36176.00,0,宜春,1501,,中南,,,,88729.02,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.57,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 57,5395,1,,88729.02,64919.18,1001130,YC,5456,D类,230,20,2,宜春万达广场,6,0,1900-01-01 00:00:00.0
194,187,FS1133,佛山三水,28,,2016-11-18 00:00:00.0,,,,64220.00,29305.00,0.00,34915.00,0,佛山,1498,,华南,,,,88715.32,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.57,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 58,5396,1,,88715.32,64219.10,1001133,FSSS,5430,D类,82,19,2,佛山三水万达广场,6,0,1900-01-01 00:00:00.0
