passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
195,188,ZZ1134,郑州惠济,35,,2016-11-18 00:00:00.0,,,,89704.00,38342.00,0.00,51362.00,0,郑州,1498,,华中,,,,133361.16,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.57,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 59,5618,1,,133361.16,89703.44,1001134,ZZHJ,5442,C类,152,19,2,郑州惠济万达广场,6,0,1900-01-01 00:00:00.0
196,189,LY1135,江苏连云港,5,,2016-11-18 00:00:00.0,,,,77529.00,35636.00,0.00,41893.00,0,连云港,1501,,华东,,,,108624.96,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.57,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5a,5490,1,,108624.96,77529.11,1001135,LYG,5450,D类,210,19,2,连云港万达广场,6,0,1900-01-01 00:00:00.0
197,190,YK1136,营口鲅鱼圈,6,,2016-11-19 00:00:00.0,,,,66846.00,33892.00,0.00,32954.00,0,营口,1501,,东北,,,,87956.41,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.57,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5b,5502,1,,87956.41,65284.83,1001136,YK*YQ,5457,D类,245,19,2,营口鲅鱼圈万达广场,6,0,1900-01-01 00:00:00.0
198,191,SX1138,绍兴上虞,33,,2016-11-25 00:00:00.0,,,,62626.00,27275.00,0.00,35351.00,0,绍兴,1499,,东南,,,,87912.22,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.573,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5c,5563,1,,87912.22,62550.13,1001138,SXSY,5453,D类,375,19,2,绍兴上虞万达广场,6,0,1900-01-01 00:00:00.0
199,192,LY1139,辽宁辽阳,6,,2017-07-28 00:00:00.0,,,,70187.00,28967.00,0.00,41220.00,0,辽阳,1501,,东北,,,,97902.13,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.573,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5d,5502,1,,97902.13,69826.11,1001139,LY,5449,D类,241,11,1,辽阳万达广场,6,0,1900-01-01 00:00:00.0
200,193,CD1144,成都双流,14,,2016-12-17 00:00:00.0,,,,86044.00,42088.00,0.00,43956.00,0,成都,1498,,西南,,,,116183.72,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.573,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 3e,5397,1,,116183.72,86575.53,1001144,CDSL,5460,D类,312,18,2,成都双流万达广场,6,0,1900-01-01 00:00:00.0
201,194,BJ1146,北京槐房,10,,2016-12-22 00:00:00.0,,,,79609.00,32615.00,0.00,46994.00,0,北京,1497,,华北,,,,118714.17,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.577,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5e,5503,1,,118714.17,79609.22,1001146,BJHF,5437,C类,38,18,2,北京槐房万达广场,4,0,1900-01-01 00:00:00.0
202,195,YT1147,烟台开发区,4,,2016-12-23 00:00:00.0,,,,65114.00,30172.00,0.00,34942.00,0,烟台,1499,,华北,,,,88165.58,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.577,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 5f,5503,1,,88165.58,65122.52,1001147,YTKFQ,5454,D类,286,18,2,烟台开发区万达广场,6,0,1900-01-01 00:00:00.0
203,196,HK1148,海口秀英,28,,2016-12-23 00:00:00.0,,,,71407.00,31217.00,0.00,40190.00,0,海口,1499,,华南,,,,98594.52,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.577,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 60,5396,1,,98594.52,71407.38,1001148,HKXY,5470,C类,124,18,2,海口秀英万达广场,6,0,1900-01-01 00:00:00.0
204,197,HZ1149,浙江湖州,33,,2016-12-29 00:00:00.0,,,,69195.00,30418.00,0.00,38777.00,0,湖州,1501,,东南,,,,98099.53,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.577,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 61,5563,1,,98099.53,68822.33,1001149,HZ,5461,D类,369,18,2,湖州万达广场,6,0,1900-01-01 00:00:00.0
205,198,FY1150,阜阳颍泉,29,,2017-06-16 00:00:00.0,,,,64055.00,31744.00,0.00,32311.00,,阜阳,1499,,中南,,,,86584.20,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 62,5395,0,,88409.64,64055.41,1001150,FY*Q,5440,D类,46,12,2,阜阳颍泉万达广场,6,0,1900-01-01 00:00:00.0
206,199,FZ1151,江西抚州,36,,2017-06-16 00:00:00.0,,,,70025.00,32128.00,0.00,37897.00,,抚州,1501,,中南,,,,98008.87,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 63,5395,0,,98008.87,70025.37,1001151,FZ,5462,C类,221,12,2,抚州万达广场,6,0,1900-01-01 00:00:00.0
207,200,BZ1152,山东滨州,3,,2016-12-30 00:00:00.0,,,,63346.00,26375.00,0.00,36971.00,0,滨州,1501,,华北,,,,88600.65,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 64,5503,1,,88600.65,63346.01,1001152,BZ,5463,D类,272,18,2,滨州万达广场,6,0,1900-01-01 00:00:00.0
208,201,FJ1153,福建三明,15,,2016-12-30 00:00:00.0,,,,64521.00,30887.00,0.00,33634.00,0,三明,1501,,东南,,,,88316.08,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 65,5563,1,,88316.08,64521.39,1001153,FJSM,5438,D类,63,18,2,福建三明万达广场,6,0,1900-01-01 00:00:00.0
209,202,LA1154,安徽六安,29,,2016-12-31 00:00:00.0,,,,66166.00,28836.00,0.00,37330.00,0,六安,1501,,中南,,,,96051.81,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 66,5395,1,,98958.96,66166.57,1001154,LA,5455,C类,51,18,2,六安万达广场,6,0,1900-01-01 00:00:00.0
210,203,YY1155,湖南益阳,49,,2017-06-23 00:00:00.0,,,,64578.00,31682.00,0.00,32896.00,,益阳,1501,,中南,,,,88359.17,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.58,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 67,5395,0,,88359.17,64586.95,1001155,YY,5464,C类,193,12,2,益阳万达广场,6,0,1900-01-01 00:00:00.0
211,204,LZ1156,柳州柳南,48,,2016-12-31 00:00:00.0,,,,62764.00,27480.00,0.00,35284.00,0,柳州,1499,,华南,,,,88891.05,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.583,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 68,5396,1,,88891.05,62764.17,1001156,LZLN,5465,D类,110,18,2,柳州柳南万达广场,6,0,1900-01-01 00:00:00.0
212,205,NC1164,南昌万达茂,36,,2016-05-28 00:00:00.0,,,,83813.00,40047.00,0.00,43766.00,0,南昌,1498,,中南,,,,125279.62,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.583,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 69,5395,1,,125279.62,82025.07,1001164,NCWDCGC,5482,D类,226,25,2,南昌万达茂,8,0,1900-01-01 00:00:00.0
213,206,HF1184,合肥万达茂,29,,2016-09-24 00:00:00.0,,,,86187.00,43285.00,0.00,42902.00,0,合肥,1498,,中南,,,,125051.35,,2015-11-04 22:00:04.267,2018-06-05 00:00:00.583,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 6a,5395,1,,125051.35,86187.29,1001184,HFWDC,5484,D类,47,21,2,合肥万达茂,8,0,1900-01-01 00:00:00.0
214,207,CY1140,辽宁朝阳,6,,2016-11-26 00:00:00.0,,,,63310.00,27938.00,0.00,35372.00,0,朝阳,1501,,东北,,,,88156.71,,2015-11-06 14:00:03.533,2018-06-05 00:00:00.583,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 6b,5502,1,,88156.71,60568.25,1001140,CY,5485,D类,234,19,2,朝阳万达广场,1,0,1900-01-01 00:00:00.0
215,208,DLWDZX,大连万达中心,39,,2012-02-25 00:00:00.0,,,,,,0.00,,,大连,1498,,东北,,,,59698.48,,2015-11-10 22:00:03.62,2018-06-05 00:00:00.587,2018-01-04 19:41:12.067,00 00 00 00 06 29 62 6c,5502,0,,59698.48,59698.48,1001204,DLWDZX,5486,,235,19,2,大连万达中心,9,0,1900-01-01 00:00:00.0
216,209,QY1284,广东清远,28,,2016-12-29 00:00:00.0,,,,70796.00,27472.00,0.00,43324.00,0,清远,1501,,华南,,,,98384.40,,2016-01-23 18:00:05.447,2018-06-05 00:00:00.587,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 6d,5396,1,,98384.40,70795.95,1001284,,5489,C类,90,18,2,清远万达广场,1,0,1900-01-01 00:00:00.0
217,210,DL1285,大连普兰店,39,,2017-07-29 00:00:00.0,,,,55872.00,24631.00,0.00,31241.00,,大连,1498,,东北,,,,80733.20,,2016-01-23 18:00:05.447,2018-06-05 00:00:00.587,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 6e,5502,0,,80733.20,55900.31,1001285,,5487,D类,235,11,1,大连普兰店万达广场,1,0,1900-01-01 00:00:00.0
218,211,DL1286,大连庄河,39,,2017-08-18 00:00:00.0,,,,55557.00,24164.00,0.00,31393.00,,大连,1498,,东北,,,,79859.13,,2016-01-23 18:00:05.447,2018-06-05 00:00:00.587,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 6f,5502,0,,79859.13,55557.74,1001286,,5488,D类,235,10,1,大连庄河万达广场,1,0,1900-01-01 00:00:00.0
219,212,XY1384,咸阳丽彩,12,,2017-01-20 00:00:00.0,,,,44768.00,23253.00,0.00,21515.00,0,咸阳,1499,,西北,,,,87545.92,,2016-09-13 22:00:03.277,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 70,5565,1,,87545.92,42386.90,1001384,,5520,C类,307,17,2,咸阳丽彩万达广场,4,0,1900-01-01 00:00:00.0
220,213,BH1364,广西北海,48,,2017-05-27 00:00:00.0,,,,67944.00,30469.00,0.00,37475.00,,北海,1501,,华南,,,,98344.88,,2016-10-18 22:00:02.7,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 71,5396,0,,98344.88,67944.56,1001364,,5494,C类,102,13,2,北海万达广场,6,0,1900-01-01 00:00:00.0
221,214,WL1424,乌鲁木齐德汇,46,,2018-01-28 00:00:00.0,,,,65400.00,36805.00,0.00,28595.00,,乌鲁木齐,1498,,西北,,,,122888.73,,2016-10-20 04:00:10.473,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 72,5565,0,,122888.73,63578.43,1001424,,5523,,350,5,1,乌鲁木齐德汇万达广场,4,0,1900-01-01 00:00:00.0
222,215,JS1425,广州金沙洲,28,,2017-06-30 00:00:00.0,,,,74935.00,50504.00,0.00,24431.00,,广州,1497,,华南,,,,103909.06,,2016-10-20 04:00:10.473,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 73,5396,0,,104070.06,74935.00,1001425,,5518,C类,83,12,2,金沙洲万达广场,1,0,1900-01-01 00:00:00.0
223,216,NN1404,南宁万达茂,48,,2017-06-17 00:00:00.0,,,,64741.00,33998.00,0.00,30743.00,,南宁,1498,,华南,,,,95360.57,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 74,5396,0,,95485.49,64741.16,1001404,,5497,D类,111,12,2,南宁万达茂,1,0,1900-01-01 00:00:00.0
224,217,NN1405,南宁江南,48,,2017-06-23 00:00:00.0,,,,73265.00,40298.00,0.00,32967.00,,南宁,1498,,华南,,,,101833.61,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 75,5396,0,,102647.83,72241.06,1001405,,5495,C类,111,12,2,南宁江南万达广场,1,0,1900-01-01 00:00:00.0
225,218,JZ1444,山西晋中,51,,2017-08-18 00:00:00.0,,,,68105.00,29929.00,0.00,38176.00,,晋中,1501,,华中,,,,97916.82,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.59,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 76,5618,0,,97916.82,68105.30,1001444,,5500,D类,292,10,1,晋中万达广场,1,0,1900-01-01 00:00:00.0
226,219,ZZ1484,山东枣庄,3,,2017-06-29 00:00:00.0,,,,62827.00,29647.00,0.00,33180.00,,枣庄,1501,,华北,,,,88142.81,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 77,5503,0,,88142.81,62827.11,1001484,,5491,C类,287,12,2,枣庄万达广场,6,0,1900-01-01 00:00:00.0
227,220,YC1485,江苏盐城,5,,2017-06-29 00:00:00.0,,,,68533.00,30161.00,0.00,38372.00,,盐城,1501,,华东,,,,103148.12,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 78,5490,0,,103148.12,68532.53,1001485,,5501,D类,218,12,2,盐城万达广场,6,0,1900-01-01 00:00:00.0
228,221,JJ1504,江西九江,36,,2017-07-08 00:00:00.0,,,,64139.00,30091.00,0.00,34048.00,,九江,1499,,中南,,,,88497.41,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 79,5395,0,,88497.41,64138.98,1001504,,5498,C类,225,11,1,九江万达广场,6,0,1900-01-01 00:00:00.0
229,222,YA1505,四川雅安,14,,2017-07-21 00:00:00.0,,,,60501.00,26433.00,0.00,34068.00,,雅安,1501,,西南,,,,88020.63,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 5b,5397,0,,88020.63,60500.91,1001505,,5517,D类,326,11,1,雅安万达广场,6,0,1900-01-01 00:00:00.0
230,223,JZ1507,辽宁锦州,6,,2017-09-01 00:00:00.0,,,,67720.00,28717.00,0.00,39003.00,,锦州,1499,,东北,,,,99028.85,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7a,5502,0,,99028.85,67275.14,1001507,,5521,C类,240,9,1,锦州万达广场,6,0,1900-01-01 00:00:00.0
231,224,PD1524,河南平顶山,35,,2017-11-24 00:00:00.0,,,,70078.00,28003.00,0.00,42075.00,,平顶山,1501,,华中,,,,99160.30,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.593,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7b,5618,0,,99160.30,68444.03,1001524,,5519,C类,145,7,1,平顶山万达广场,6,0,1900-01-01 00:00:00.0
232,225,HS1525,呼市回民区,45,,2017-08-25 00:00:00.0,,,,62133.00,31755.00,0.00,30378.00,,呼和浩特,1498,,西北,,,,88628.31,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.597,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7c,5565,0,,88628.31,60570.47,1001525,,5499,D类,251,10,1,呼市回民区万达广场,1,0,1900-01-01 00:00:00.0
233,226,ZQ1544,重庆北碚,37,,2017-08-25 00:00:00.0,,,,71039.00,35384.00,0.00,35655.00,,重庆,1498,,西南,,,,98590.00,,2016-10-20 22:00:03.543,2018-06-05 00:00:00.597,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7d,5397,0,,98590.00,71039.31,1001544,,5524,D类,379,10,1,重庆北碚万达广场,1,0,1900-01-01 00:00:00.0
234,227,DL1564,大连甘井子,39,,2017-09-29 00:00:00.0,,,,59242.00,23614.00,0.00,35628.00,,大连,1498,,东北,,,,92542.63,,2016-10-21 22:00:02.953,2018-06-05 00:00:00.597,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7e,5502,0,,93644.74,58428.35,1001564,,5525,C类,235,9,1,大连甘井子万达广场,4,0,1900-01-01 00:00:00.0
235,228,JZ1584,河南焦作,35,,2017-06-30 00:00:00.0,,,,68953.00,27327.00,0.00,41626.00,,焦作,1501,,华中,,,,104751.71,,2016-10-23 18:00:03.47,2018-06-05 00:00:00.597,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 7f,5618,0,,105633.48,68952.66,1001584,,5527,C类,140,12,2,焦作万达广场,6,0,1900-01-01 00:00:00.0
236,229,QD1506,青岛港湾,4,,2017-09-29 00:00:00.0,,,,37120.00,20516.00,0.00,16604.00,,青岛,1498,,华北,,,,50672.29,,2016-10-31 10:00:03.697,2018-06-05 00:00:00.597,2018-01-16 10:51:12.59,00 00 00 00 06 29 62 80,5503,0,,50672.29,37119.66,1001506,,5496,C类,281,12,2,青岛港区万达广场,9,0,1900-01-01 00:00:00.0
237,230,KS1604,江苏昆山,23,,2017-07-08 00:00:00.0,,,,57450.00,29326.00,0.00,28124.00,,昆山,1499,,华东,,,,82744.98,,2016-10-31 10:00:03.697,2018-06-05 00:00:00.6,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 81,5490,0,,84003.18,57449.96,1001604,,5529,C类,390,11,1,昆山万达广场,1,0,1900-01-01 00:00:00.0
238,231,CS1605,江苏常熟,23,,2017-07-22 00:00:00.0,,,,70034.00,32509.00,0.00,37525.00,,常熟,1499,,华东,,,,97384.67,,2016-10-31 10:00:03.697,2018-06-05 00:00:00.6,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 82,5490,0,,98267.26,70033.85,1001605,,5541,C类,391,11,1,常熟万达广场,1,0,1900-01-01 00:00:00.0
239,232,CC1606,长春车城,2,,2017-09-08 00:00:00.0,,,,65751.00,32342.00,0.00,33409.00,,长春,1498,,东北,,,,88487.42,,2016-10-31 10:00:03.697,2018-06-05 00:00:00.6,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 83,5502,0,,88487.42,64111.04,1001606,,5532,D类,201,9,1,长春车城万达广场,1,0,1900-01-01 00:00:00.0
240,233,Z1607,浙江诸暨,33,,2017-08-11 00:00:00.0,,,,60082.00,30025.00,0.00,30057.00,,诸暨,1501,,东南,,,,92169.29,,2016-10-31 10:00:03.697,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 84,5563,0,,92944.94,60081.30,1001607,,5542,D类,392,10,1,诸暨万达广场,1,0,1900-01-01 00:00:00.0
241,234,XH1464,南昌西湖,36,,2017-06-23 00:00:00.0,,,,73561.00,30915.00,0.00,42646.00,,南昌,1498,,中南,,,,108971.50,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 85,5395,0,,109525.50,73560.92,1001464,,5493,C类,226,12,2,西湖万达广场,6,0,1900-01-01 00:00:00.0
242,235,CD1624,成都崇州,14,,2017-09-01 00:00:00.0,,,,58480.00,25830.00,0.00,32650.00,,成都,1498,,西南,,,,86347.34,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 68,5397,0,,86347.34,57587.93,1001624,,5547,D类,312,9,1,成都崇州万达广场,6,0,1900-01-01 00:00:00.0
243,236,JL1625,吉林昌邑,2,,2017-09-15 00:00:00.0,,,,64216.00,31182.00,0.00,33034.00,,吉林市,1499,,东北,,,,88616.21,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 86,5502,0,,88616.21,63242.20,1001625,,5533,C类,202,9,1,吉林昌邑区万达广场,1,0,1900-01-01 00:00:00.0
244,237,XX1626,新乡牧野,35,,2017-12-23 00:00:00.0,,,,63064.00,28046.00,0.00,35018.00,,新乡,1501,,华中,,,,95376.24,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 87,5618,0,,95690.98,62330.48,1001626,,5534,C类,149,6,1,新乡牧野区万达广场,6,0,1900-01-01 00:00:00.0
245,238,HY1627,湖南衡阳,49,,2017-09-29 00:00:00.0,,,,67907.00,32340.00,0.00,35567.00,,衡阳,1499,,中南,,,,97968.21,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.603,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 88,5395,0,,97968.21,67906.71,1001627,,5558,C类,188,9,1,衡阳万达广场,1,0,1900-01-01 00:00:00.0
246,239,DT1628,山西大同,51,,2017-10-20 00:00:00.0,,,,67962.00,28650.00,0.00,39312.00,,大同,1501,,华中,,,,103853.83,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.607,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 89,5618,0,,104276.99,67407.25,1001628,,5535,C类,290,8,1,大同万达广场,6,0,1900-01-01 00:00:00.0
247,240,ZQ1629,重庆綦江,37,,2017-10-27 00:00:00.0,,,,62968.00,27763.00,0.00,35205.00,,重庆,1498,,西南,,,,88953.32,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.607,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 8a,5397,0,,88953.32,62993.04,1001629,,5555,D类,379,8,1,重庆綦江万达广场,1,0,1900-01-01 00:00:00.0
248,241,QJ1630,云南曲靖,41,,2017-10-27 00:00:00.0,,,,63924.00,24423.00,0.00,39501.00,,曲靖,1501,,西南,,,,98616.27,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.607,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 8b,5397,0,,98616.27,63924.18,1001630,,5531,C类,364,8,1,曲靖万达广场,1,0,1900-01-01 00:00:00.0
249,242,JQ1631,甘肃酒泉,44,,2017-11-10 00:00:00.0,,,,62313.00,26980.00,0.00,35333.00,,酒泉,1501,,西北,,,,88622.14,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.607,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 8c,5565,0,,88622.14,62313.46,1001631,,5552,D类,71,7,1,酒泉万达广场,1,0,1900-01-01 00:00:00.0
250,243,SZ1632,宁夏石嘴山,44,,2018-07-06 00:00:00.0,,,,57227.00,22803.00,0.00,34424.00,,石嘴山,1498,,西北,,,,90097.71,,2016-10-31 14:00:03.667,2018-01-04 19:42:05.043,2018-07-07 00:00:00.0,00 00 00 00 06 29 62 8d,5565,0,,90097.71,54695.41,1001632,,5553,,260,,,石嘴山万达广场,1,0,1900-01-01 00:00:00.0
251,244,TL1633,安徽铜陵,29,,2017-11-10 00:00:00.0,,,,63362.00,29498.00,0.00,33864.00,,铜陵,1501,,中南,,,,88833.62,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.61,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 8e,5395,0,,88833.62,63138.41,1001633,,5492,C类,54,7,1,铜陵万达广场,1,0,1900-01-01 00:00:00.0
252,245,TJ1634,天津塘沽,7,,2017-12-29 00:00:00.0,,,,72983.00,38721.00,0.00,34262.00,,天津,1498,,华北,,,,106529.40,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.61,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 8f,5503,0,,107073.64,71256.82,1001634,,5536,C类,330,6,1,天津塘沽万达广场,1,0,1900-01-01 00:00:00.0
253,246,XA1635,西安高新,12,,2017-11-18 00:00:00.0,,,,70988.00,34877.00,0.00,36111.00,,西安,1498,,西北,,,,110424.17,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.61,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 90,5565,0,,110424.17,69394.77,1001635,,5554,C类,306,7,1,西安高新万达广场,1,0,1900-01-01 00:00:00.0
254,247,HZ1636,惠州大亚湾,42,,2017-11-24 00:00:00.0,,,,68934.00,26588.00,0.00,42346.00,,惠州,1499,,华南,,,,106664.45,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.61,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 91,5396,0,,106664.45,68345.71,1001636,,5546,C类,85,7,1,惠州大亚湾万达广场,1,0,1900-01-01 00:00:00.0
255,248,GL1637,桂林叠彩,48,,2017-11-24 00:00:00.0,,,,68000.00,31041.00,0.00,36959.00,,桂林,1499,,华南,,,,101061.64,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.61,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 92,5396,0,,101505.03,67187.35,1001637,,5545,D类,106,7,1,桂林叠彩万达广场,6,0,1900-01-01 00:00:00.0
256,249,CD1638,成都金堂,14,,2017-12-08 00:00:00.0,,,,59150.00,27041.00,0.00,32109.00,,成都,1498,,西南,,,,88312.26,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.613,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 76,5397,0,,88312.26,58932.13,1001638,,5548,C类,312,6,1,成都金堂万达广场,6,0,1900-01-01 00:00:00.0
