passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
257,250,YZ1639,扬州邗江,5,,2017-12-08 00:00:00.0,,,,64057.00,28583.00,0.00,35474.00,,扬州,1499,,华东,,,,92635.83,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.613,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 93,5490,0,,93086.79,62778.67,1001639,,5538,C类,219,6,1,扬州邗江万达广场,1,0,1900-01-01 00:00:00.0
258,251,LP1640,贵州六盘水,41,,2017-12-08 00:00:00.0,,,,62762.00,23944.00,0.00,38818.00,,六盘水,1501,,西南,,,,93817.50,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.613,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 94,5397,0,,93817.50,62206.19,1001640,,5550,C类,118,6,1,六盘水万达广场,1,0,1900-01-01 00:00:00.0
259,252,XC1641,宣城宣州,29,,2018-06-29 00:00:00.0,,,,66406.00,31188.00,0.00,35218.00,,宣城,1499,,中南,,,,98288.12,,2016-10-31 14:00:03.667,2018-05-25 14:16:17.353,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 95,5395,0,,98288.12,65553.16,1001641,,5556,,56,,,宣城万达广场,1,0,1900-01-01 00:00:00.0
260,253,NT1642,南通通州,23,,2017-12-15 00:00:00.0,,,,67012.00,28904.00,0.00,38108.00,,南通,1499,,华东,,,,101666.33,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.613,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 96,5490,0,,101666.33,66707.25,1001642,,5539,D类,212,6,1,南通通州万达广场,6,0,1900-01-01 00:00:00.0
261,254,Z1643,衢州柯城,13,,2017-12-15 00:00:00.0,,,,67147.00,28837.00,0.00,38310.00,,衢州,1501,,东南,,,,105613.01,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.617,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 97,5563,0,,105613.01,66838.05,1001643,,5543,C类,374,6,1,衢州万达广场,6,0,1900-01-01 00:00:00.0
262,255,BJ1644,北京丰台西铁营,10,,2017-12-22 00:00:00.0,,,,43983.00,23436.00,0.00,20547.00,,北京,1497,,华北,,,,66486.69,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.617,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 98,5503,0,,66486.69,43023.63,1001644,,5537,C类,38,6,1,北京丰台西铁营万达广场,4,0,1900-01-01 00:00:00.0
263,256,CD1645,成都武侯,14,,2017-12-22 00:00:00.0,,,,68893.00,39834.00,0.00,29059.00,,成都,1498,,西南,,,,105232.58,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.617,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 7d,5397,0,,105232.58,68054.73,1001645,,5549,C类,312,6,1,成都武侯万达广场,4,0,1900-01-01 00:00:00.0
264,257,SH1646,上海闵行颛桥,11,,2017-12-22 00:00:00.0,,,,75128.00,36138.00,0.00,38990.00,,上海,1497,,华东,,,,108006.75,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.617,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 99,5490,0,,108635.99,72893.06,1001646,,5544,C类,39,6,1,上海闵行颛桥万达广场,1,0,1900-01-01 00:00:00.0
265,258,GY1647,贵阳观山湖,41,,2018-05-25 00:00:00.0,,,,75037.00,30702.00,0.00,44335.00,,贵阳,1501,,西南,,,,119692.78,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.617,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 9a,5397,0,,120735.44,76278.17,1001647,,5551,,117,1,1,贵阳观山湖万达广场,6,0,1900-01-01 00:00:00.0
266,259,CZ1648,常州溧阳,23,,2018-06-01 00:00:00.0,,,,59805.00,21124.00,0.00,38681.00,,常州,1499,,华东,,,,91712.70,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.62,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 9b,5490,0,,91915.01,59308.23,1001648,,5540,,208,0,1,常州溧阳万达广场,1,0,1900-01-01 00:00:00.0
267,260,HG1649,湖北黄冈,8,,2018-06-22 00:00:00.0,,,,58879.00,22930.00,0.00,35949.00,,黄冈,1501,,华中,,,,92031.58,,2016-10-31 14:00:03.667,2018-05-25 14:15:18.557,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 9c,5618,0,,92470.45,57808.13,1001649,,5557,,170,,,黄冈万达广场,1,0,1900-01-01 00:00:00.0
268,261,DZ1650,丹寨万达小镇,41,,2017-07-01 00:00:00.0,,,,37962.00,2674.00,0.00,35288.00,,丹寨,1501,,西南,,,,38997.82,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.62,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 9d,5397,0,,38997.82,37962.16,1001650,,5528,,389,11,1,丹寨万达小镇,10,0,1900-01-01 00:00:00.0
269,262,HE1651,哈尔滨万达茂,9,,2017-06-30 00:00:00.0,,,,83992.00,48801.00,0.00,35191.00,,哈尔滨,1498,,东北,,,,131638.85,,2016-10-31 14:00:03.667,2018-06-05 00:00:00.62,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 9e,5502,0,,131638.85,83991.24,1001651,,5526,C类,157,12,2,哈尔滨万达文化旅游城,8,0,1900-01-01 00:00:00.0
270,263,HF1664,合肥万达城酒吧街,29,,2016-09-24 00:00:00.0,,,,,,0.00,,,合肥,1498,,中南,,,,0.00,,2017-02-10 22:00:06.377,2018-06-05 00:00:00.62,2018-01-04 19:41:40.553,00 00 00 00 06 29 62 9f,5395,0,,15497.67,0.00,1001664,,5561,,47,12,2,合肥万达城酒吧街,8,0,1900-01-01 00:00:00.0
271,264,XS1684,西双版纳酒吧街,41,,2015-12-18 00:00:00.0,,,,,,0.00,,,西双版纳,1501,,西南,,,,0.00,,2017-02-10 22:00:06.377,2018-06-05 00:00:00.62,2018-01-04 19:41:33.47,00 00 00 00 06 29 62 a0,5397,0,,15779.39,0.00,1001684,,5559,,352,12,2,西双版纳酒吧街,8,0,1900-01-01 00:00:00.0
272,265,NC1704,南昌万达城酒吧街,36,,2017-09-08 00:00:00.0,,,,0.00,0.00,0.00,0.00,,南昌,1498,,中南,,,,0.00,,2017-02-10 22:00:06.377,2018-06-05 00:00:00.62,2018-01-04 19:41:54.56,00 00 00 00 06 29 62 a1,5395,0,,18659.07,0.00,1001704,,5560,,226,12,2,南昌万达城酒吧街,8,0,1900-01-01 00:00:00.0
273,266,BJ1724,北京怀柔,10,,2018-01-01 00:00:00.0,,,,38154.00,19065.00,0.00,19089.00,,北京,1497,,华北,,,,57739.58,,2017-05-10 01:00:03.697,2018-06-05 00:00:00.62,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a2,5503,0,,57739.58,37598.61,1001724,,5566,,38,5,1,北京怀柔万达广场,4,0,1900-01-01 00:00:00.0
274,267,QD1744,青岛万达茂,4,,2018-04-28 00:00:00.0,,,,75704.00,43966.00,0.00,31738.00,,青岛,1498,,华北,,,,114016.28,,2017-05-25 00:00:04.537,2018-06-05 00:00:00.623,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a3,5503,0,,114016.28,73469.95,1001744,,5568,,281,2,1,青岛东方影都万达茂,8,0,1900-01-01 00:00:00.0
275,268,JJ1784,晋江古厝,32,,2018-04-02 00:00:00.0,,,,,,0.00,,,晋江,1501,,东南,,,,0.00,,2017-07-26 22:00:30.613,2018-06-05 00:00:00.623,2018-04-03 00:00:00.0,00 00 00 00 06 29 62 a4,5563,0,,3051.91,0.00,1001784,,5578,,384,2,1,晋江古厝,1,0,1900-01-01 00:00:00.0
276,269,YA1785,陕西延安,12,,2018-02-09 00:00:00.0,,,,37983.00,16466.00,0.00,21517.00,,延安,1499,,西北,,,,56323.26,,2017-07-26 22:00:30.613,2018-06-05 00:00:00.623,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a5,5565,0,,57171.25,36425.48,1001785,,5577,,308,4,1,延安万达广场,4,0,1900-01-01 00:00:00.0
277,270,HB1804,鹤壁淇滨,35,,2018-06-22 00:00:00.0,,,,62096.00,25972.00,0.00,36124.00,,鹤壁,1498,,华中,,,,94073.56,,2017-08-02 18:00:05.01,2018-05-25 14:15:39.07,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a6,5618,0,,94073.56,60806.29,1001804,,5571,,138,,,鹤壁淇滨万达广场,1,0,1900-01-01 00:00:00.0
278,271,NB1805,宁波奉化,13,,2018-05-26 00:00:00.0,,,,57102.00,26772.00,0.00,30330.00,,宁波,1498,,东南,,,,87937.45,,2017-08-02 18:00:05.01,2018-06-05 00:00:00.623,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a7,5563,0,,88426.45,58142.96,1001805,,5579,,373,1,1,宁波奉化万达广场,4,0,1900-01-01 00:00:00.0
279,272,DY1806,东营东城,3,,2018-07-12 00:00:00.0,,,,58488.00,24568.00,0.00,33920.00,,东营,1501,,华北,,,,85741.26,,2017-08-02 18:00:05.01,2018-01-04 19:42:05.34,2018-07-13 00:00:00.0,00 00 00 00 06 29 62 a8,5503,0,,85741.26,58264.67,1001806,,5586,,274,,,东营东城万达广场,1,0,1900-01-01 00:00:00.0
280,273,JX1807,嘉兴龙鼎,33,,2018-05-25 00:00:00.0,,,,64019.00,29460.00,0.00,34559.00,,嘉兴,1499,,东南,,,,112252.40,,2017-08-02 18:00:05.01,2018-06-05 00:00:00.627,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 a9,5563,0,,112252.40,64670.45,1001807,,5603,,370,1,1,嘉兴龙鼎万达广场,4,0,1900-01-01 00:00:00.0
281,274,LZ1808,四川泸州,14,,2018-06-01 00:00:00.0,,,,67762.00,29732.00,0.00,38030.00,,泸州,1501,,西南,,,,99980.30,,2017-08-02 18:00:05.01,2018-06-05 00:00:00.627,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 8f,5397,0,,99980.30,66201.43,1001808,,5609,,319,0,1,泸州万达广场,1,0,1900-01-01 00:00:00.0
282,275,NJ1809,南京仙林万达茂,5,,2018-06-01 00:00:00.0,,,,68786.00,33391.00,0.00,35395.00,,南京,1498,,华东,,,,109020.26,,2017-08-02 18:00:05.01,2018-06-05 00:00:00.627,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 aa,5490,0,,109890.70,69679.82,1001809,,5592,,211,0,1,南京仙林万达茂,1,0,1900-01-01 00:00:00.0
283,276,BT1810,包头九原,45,,2018-08-17 00:00:00.0,,,,63473.00,28959.00,0.00,34514.00,,包头,1499,,西北,,,,88905.03,,2017-08-02 18:00:05.01,2018-01-04 19:42:06.107,2018-08-18 00:00:00.0,00 00 00 00 06 29 62 ab,5565,0,,88905.03,62547.36,1001810,,5598,,248,,,包头九原万达广场,1,0,1900-01-01 00:00:00.0
284,277,FX1811,辽宁阜新,6,,2018-08-10 00:00:00.0,,,,65115.00,24910.00,0.00,40205.00,,阜新,1501,,东北,,,,98429.46,,2017-08-02 18:00:05.01,2018-01-04 19:42:05.84,2018-08-11 00:00:00.0,00 00 00 00 06 29 62 ac,5502,0,,98429.46,65358.09,1001811,,5583,,238,,,阜新万达广场,1,0,1900-01-01 00:00:00.0
285,278,HB1812,安徽淮北,29,,2018-09-28 00:00:00.0,,,,59350.00,22203.00,0.00,37147.00,,淮北,1501,,中南,,,,91842.80,,2017-08-02 18:00:05.01,2018-01-04 19:42:07.96,2018-09-29 00:00:00.0,00 00 00 00 06 29 62 ad,5395,0,,91842.80,59100.99,1001812,,5600,,48,,,淮北万达广场,1,0,1900-01-01 00:00:00.0
286,279,SQ1813,商丘睢阳,35,,2018-07-06 00:00:00.0,,,,59919.00,21227.00,0.00,38692.00,,商丘,1498,,华中,,,,92337.52,,2017-08-02 18:00:05.01,2018-01-04 19:42:04.78,2018-07-07 00:00:00.0,00 00 00 00 06 29 62 ae,5618,0,,92337.52,57703.61,1001813,,5572,,148,,,商丘睢阳万达广场,1,0,1900-01-01 00:00:00.0
287,280,WZ1814,宁夏吴忠,44,,2018-06-15 00:00:00.0,,,,59569.00,27843.00,0.00,31726.00,,吴忠,1501,,西北,,,,82452.85,,2017-08-02 18:00:05.01,2018-05-14 10:00:37.773,1900-01-01 00:00:00.0,00 00 00 00 06 29 62 af,5565,0,,83269.46,54796.79,1001814,,5575,,261,,,吴忠万达广场,4,0,1900-01-01 00:00:00.0
288,281,SH1815,黑龙江绥化,55,,2018-09-30 00:00:00.0,,,,57811.00,25733.00,0.00,32078.00,,绥化,1498,,东北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:08.21,2018-10-01 00:00:00.0,00 00 00 00 06 29 62 b0,5502,0,,,,1001815,,5604,,166,,,绥化万达广场,4,0,1900-01-01 00:00:00.0
289,282,JM1816,江门新会,28,,2018-08-24 00:00:00.0,,,,67340.00,26107.00,0.00,41233.00,,江门,1499,,华南,,,,101498.52,,2017-08-02 18:00:05.01,2018-01-04 19:42:06.357,2018-08-25 00:00:00.0,00 00 00 00 06 29 62 b1,5396,0,,101498.52,67189.85,1001816,,5605,,86,,,江门新会万达广场,1,0,1900-01-01 00:00:00.0
290,283,MS1817,四川眉山,14,,2018-07-27 00:00:00.0,,,,58809.00,25386.00,0.00,33423.00,,眉山,1501,,西南,,,,91435.58,,2017-08-02 18:00:05.01,2018-01-04 19:42:05.59,2018-07-28 00:00:00.0,00 00 00 00 06 29 61 98,5397,0,,92422.78,58618.20,1001817,,5610,,320,,,眉山万达广场,1,0,1900-01-01 00:00:00.0
291,284,WL1818,乌鲁木齐高新,46,,2018-09-21 00:00:00.0,,,,64493.00,29212.00,0.00,35281.00,,乌鲁木齐,1498,,西北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:07.18,2018-09-22 00:00:00.0,00 00 00 00 06 29 62 b2,5565,0,,,,1001818,,5580,,350,,,乌鲁木齐高新区万达广场,1,0,1900-01-01 00:00:00.0
292,285,CZ1819,山西长治,51,,2018-09-22 00:00:00.0,,,,56297.00,28795.00,0.00,27502.00,,长治,1498,,华中,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:07.447,2018-09-23 00:00:00.0,00 00 00 00 06 29 62 b3,5618,0,,,,1001819,,5581,,289,,,长治万达广场,4,0,1900-01-01 00:00:00.0
293,286,EE1820,鄂尔多斯,45,,2019-09-30 00:00:00.0,,,,,,0.00,,,鄂尔多斯,1501,,西北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:14.733,2019-10-01 00:00:00.0,00 00 00 00 06 29 62 b4,5565,0,,,,1001820,,5599,,250,,,鄂尔多斯万达广场,4,0,1900-01-01 00:00:00.0
294,287,ZX1821,上海中信泰富,11,,2018-10-01 00:00:00.0,,,,120877.00,78887.00,0.00,41990.00,,上海,1497,,华东,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:08.46,2018-10-02 00:00:00.0,00 00 00 00 06 29 62 b5,5490,0,,,,1001821,,5585,,39,,,中信泰富万达广场,4,0,1900-01-01 00:00:00.0
295,288,FJ1822,福建南平,15,,2018-12-01 00:00:00.0,,,,54961.00,27085.00,0.00,27876.00,,南平,1498,,东南,,,,29550.00,,2017-08-02 18:00:05.01,2018-01-04 19:42:06.87,2018-09-22 00:00:00.0,00 00 00 00 06 29 62 b6,5563,0,,29550.00,29550.00,1001822,,5607,,59,,,福建南平万达广场,1,0,1900-01-01 00:00:00.0
296,289,WW1823,甘肃武威,44,,2018-10-19 00:00:00.0,,,,59432.00,23487.00,0.00,35945.00,,武威,1498,,西北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:08.71,2018-10-20 00:00:00.0,00 00 00 00 06 29 62 b7,5565,0,,,,1001823,,5576,,78,,,武威万达广场,1,0,1900-01-01 00:00:00.0
297,290,XC1824,河南许昌,35,,2018-10-26 00:00:00.0,,,,66696.00,26293.00,0.00,40403.00,,许昌,1499,,华中,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:08.977,2018-10-27 00:00:00.0,00 00 00 00 06 29 62 b8,5618,0,,,,1001824,,5573,,151,,,许昌万达广场,1,0,1900-01-01 00:00:00.0
298,291,CD1825,成都龙泉驿,14,,2018-10-26 00:00:00.0,,,,58208.00,25700.00,0.00,32508.00,,成都,1498,,西南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:09.24,2018-10-27 00:00:00.0,00 00 00 00 06 29 61 a0,5397,0,,,,1001825,,5611,,312,,,成都龙泉驿万达广场,1,0,1900-01-01 00:00:00.0
299,292,XT1826,河北邢台,10,,2018-11-02 00:00:00.0,,,,60169.00,26846.00,0.00,33323.00,,邢台,1501,,华北,,,,93365.70,,2017-08-02 18:00:05.01,2018-01-04 19:42:09.49,2018-11-03 00:00:00.0,00 00 00 00 06 29 62 b9,5503,0,,93931.55,60877.64,1001826,,5613,,135,,,邢台万达广场,1,0,1900-01-01 00:00:00.0
300,293,HF1827,合肥巢湖,29,,2018-11-02 00:00:00.0,,,,65328.00,29760.00,0.00,35568.00,,合肥,1498,,中南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:09.757,2018-11-03 00:00:00.0,00 00 00 00 06 29 62 ba,5395,0,,,,1001827,,5601,,47,,,合肥巢湖万达广场,1,0,1900-01-01 00:00:00.0
301,294,BX1828,辽宁本溪,6,,2018-12-21 00:00:00.0,,,,50120.00,21800.00,0.00,28320.00,,本溪,1501,,东北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:11.3,2018-12-22 00:00:00.0,00 00 00 00 06 29 62 bb,5502,0,,,,1001828,,5584,,233,,,本溪万达广场,4,0,1900-01-01 00:00:00.0
302,295,HZ1829,山东菏泽,3,,2018-11-16 00:00:00.0,,,,65824.00,24068.00,0.00,41756.00,,菏泽,1498,,华北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:10.007,2018-11-17 00:00:00.0,00 00 00 00 06 29 62 bc,5503,0,,,,1001829,,5587,,275,,,菏泽万达广场,4,0,1900-01-01 00:00:00.0
303,296,YC1830,山西运城,51,,2018-12-28 00:00:00.0,,,,63519.00,24200.00,0.00,39319.00,,运城,1501,,华中,,,,100254.04,,2017-08-02 18:00:05.01,2018-01-04 19:42:10.27,2018-11-17 00:00:00.0,00 00 00 00 06 29 62 bd,5618,0,,100761.50,63953.86,1001830,,5582,,299,,,运城万达广场,1,0,1900-01-01 00:00:00.0
304,297,KF1831,河南开封,35,,2018-09-28 00:00:00.0,,,,66831.00,27629.00,0.00,39202.00,,开封,1501,,华中,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:07.697,2018-09-29 00:00:00.0,00 00 00 00 06 29 62 be,5618,0,,,,1001831,,5574,,141,,,开封万达广场,4,0,1900-01-01 00:00:00.0
305,298,HN1832,安徽淮南,29,,2018-09-07 00:00:00.0,,,,56962.00,28896.00,0.00,28066.00,,淮南,1501,,中南,,,,86682.03,,2017-08-02 18:00:05.01,2018-01-04 19:42:06.62,2018-09-08 00:00:00.0,00 00 00 00 06 29 62 bf,5395,0,,87245.24,53600.46,1001832,,5602,,49,,,淮南万达广场,4,0,1900-01-01 00:00:00.0
306,299,ZQ1833,重庆沙坪坝,37,,2018-11-30 00:00:00.0,,,,67210.00,28900.00,0.00,38310.00,,重庆,1498,,西南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:10.537,2018-12-01 00:00:00.0,00 00 00 00 06 29 62 c0,5397,0,,,,1001833,,5570,,379,,,重庆沙坪坝万达广场,1,0,1900-01-01 00:00:00.0
307,300,JS1834,江苏宿迁,5,,2018-12-07 00:00:00.0,,,,63646.00,25200.00,0.00,38446.00,,宿迁,1501,,华东,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:10.787,2018-12-08 00:00:00.0,00 00 00 00 06 29 62 c1,5490,0,,,,1001834,,5593,,214,,,江苏宿迁万达广场,1,0,1900-01-01 00:00:00.0
308,301,YB1836,四川宜宾,14,,2018-12-21 00:00:00.0,,,,64205.00,25300.00,0.00,38905.00,,宜宾,1499,,西南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:12.36,2018-12-22 00:00:00.0,00 00 00 00 06 29 61 aa,5397,0,,,,1001836,,5612,,327,,,宜宾万达广场,1,0,1900-01-01 00:00:00.0
309,302,YL1837,广西玉林,48,,2019-06-28 00:00:00.0,,,,,,0.00,,,玉林,1501,,华南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:11.567,2018-12-22 00:00:00.0,00 00 00 00 06 29 62 c2,5396,0,,,,1001837,,5590,,114,,,玉林万达广场,6,0,1900-01-01 00:00:00.0
310,303,NC1838,南昌青山湖,36,,2018-12-21 00:00:00.0,,,,64467.00,24900.00,0.00,39567.00,,南昌,1498,,中南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:11.83,2018-12-22 00:00:00.0,00 00 00 00 06 29 62 c3,5395,0,,,,1001838,,5596,,226,,,南昌青山湖万达广场,1,0,1900-01-01 00:00:00.0
311,304,YL1839,陕西榆林,12,,2018-12-22 00:00:00.0,,,,56473.00,20600.00,0.00,35873.00,,榆林,1501,,西北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:12.097,2018-12-22 00:00:00.0,00 00 00 00 06 29 62 c4,5565,0,,,,1001839,,5614,,309,,,榆林万达广场,1,0,1900-01-01 00:00:00.0
312,305,NJ1840,南京溧水,5,,2018-09-28 00:00:00.0,,,,67366.00,25092.00,0.00,42274.00,,南京,1498,,华东,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:12.877,2018-12-23 00:00:00.0,00 00 00 00 06 29 62 c5,5490,0,,,,1001840,,5594,,211,,,南京溧水万达广场,1,0,1900-01-01 00:00:00.0
313,306,QZ1841,泉州星光耀,32,,2018-12-22 00:00:00.0,,,,,,0.00,,,泉州,1499,,东南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:12.61,2018-12-23 00:00:00.0,00 00 00 00 06 29 62 c6,5563,0,,,,1001841,,5608,,62,,,泉州星光耀万达广场,4,0,1900-01-01 00:00:00.0
314,307,ZJ1842,江苏张家港,5,,2018-12-28 00:00:00.0,,,,53114.00,24888.00,0.00,28226.00,,张家港,1499,,华东,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:13.67,2018-12-29 00:00:00.0,00 00 00 00 06 29 62 c7,5490,0,,,,1001842,,5595,,397,,,张家港万达广场,4,0,1900-01-01 00:00:00.0
315,308,GZ1843,广州新塘,28,,2018-12-28 00:00:00.0,,,,59943.00,25500.00,0.00,34443.00,,广州,1497,,华南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:13.953,2018-12-29 00:00:00.0,00 00 00 00 06 29 62 c8,5396,0,,,,1001843,,5606,,83,,,广州新塘万达广场,4,0,1900-01-01 00:00:00.0
316,309,YX1844,云南玉溪,41,,2019-12-27 00:00:00.0,,,,,,0.00,,,玉溪,1501,,西南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:14.997,2019-12-28 00:00:00.0,00 00 00 00 06 29 62 c9,5397,0,,,,1001844,,5597,,366,,,玉溪万达广场,4,0,1900-01-01 00:00:00.0
317,310,WF1845,潍坊寿光,4,,2018-12-29 00:00:00.0,,,,56262.00,21200.00,0.00,35062.00,,潍坊,1499,,华北,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:14.217,2018-12-30 00:00:00.0,00 00 00 00 06 29 62 ca,5503,0,,,,1001845,,5589,,285,,,潍坊寿光万达广场,1,0,1900-01-01 00:00:00.0
318,311,GG1846,广西贵港,48,,2018-12-29 00:00:00.0,,,,,,0.00,,,贵港,1501,,华南,,,,,,2017-08-02 18:00:05.01,2018-01-04 19:42:14.483,2018-12-30 00:00:00.0,00 00 00 00 06 29 62 cb,5396,0,,,,1001846,,5591,,105,,,贵港万达广场,1,0,1900-01-01 00:00:00.0
319,312,QD1864,青岛东方影都酒吧街,4,,2018-04-28 00:00:00.0,,,,,,0.00,,,青岛,1498,,华北,,,,0.00,,2017-09-29 18:00:04.86,2018-06-05 00:00:00.63,2018-04-09 16:53:56.88,00 00 00 00 06 29 62 cc,5503,0,,18736.25,0.00,1001864,,5615,,281,0,1,青岛东方影都酒吧街,8,0,1900-01-01 00:00:00.0
320,313,TZ1835,泰州泰兴,5,,2018-12-15 00:00:00.0,,,,62770.00,25802.00,0.00,36968.00,,泰州,1501,,华东,,,,,,2017-12-07 14:00:04.463,2018-01-04 19:42:11.05,2018-12-16 00:00:00.0,00 00 00 00 06 29 62 cd,5490,0,,,,1001835,,5588,,215,,,泰州泰兴万达广场,4,0,1900-01-01 00:00:00.0
321,314,DQ1884,大庆让胡路,55,,2018-12-23 00:00:00.0,,,,,,0.00,,,大庆,1499,,东北,,,,,,2018-01-03 01:00:03.717,2018-01-04 19:42:13.14,2018-12-24 00:00:00.0,00 00 00 00 06 29 62 ce,5502,0,,,,1001884,,5617,,155,,,大庆让胡路万达广场,4,0,1900-01-01 00:00:00.0
322,315,QZ1885,泉州安溪,32,,2018-12-28 00:00:00.0,,,,62309.00,32781.00,0.00,29528.00,,泉州,1499,,东南,,,,,,2018-01-03 01:00:03.717,2018-01-04 19:42:13.407,2018-12-29 00:00:00.0,00 00 00 00 06 29 62 cf,5563,0,,,,1001885,,5616,,62,,,泉州安溪万达广场,1,0,1900-01-01 00:00:00.0
325,316,MY1986,绵阳CBD,,,2018-12-21 00:00:00.0,,,,55130.00,34095.00,0.00,21035.00,,,,,,,,,,,2018-03-26 18:00:07.427,2018-03-26 18:00:07.427,2018-12-21 00:00:00.0,00 00 00 00 06 25 77 38,,0,,,,1001986,,5619,,,,,绵阳CBD,,,
326,317,ZQ2006,重庆铜梁,,,2018-12-31 00:00:00.0,,,,,,0.00,,,,,,,,,,,,2018-03-27 14:00:03.85,2018-03-27 14:00:03.85,2018-12-31 00:00:00.0,00 00 00 00 06 25 77 39,,0,,,,1002006,,5620,,,,,重庆铜梁,,,
327,318,CZ2026,滁州万达广场,,,2019-12-06 00:00:00.0,,,,62647.00,23706.00,0.00,38941.00,,,,,,,,,,,2018-04-11 18:00:44.693,2018-04-11 18:00:44.693,2019-12-06 00:00:00.0,00 00 00 00 06 25 77 3a,,0,,,,1002026,,5622,,,,,滁州万达广场,,,
