entactmgt_tpm_project_clean.projectid,entactmgt_tpm_project_clean.orgid,entactmgt_tpm_project_clean.projectname,entactmgt_tpm_project_clean.jddate,entactmgt_tpm_project_clean.picpath,entactmgt_tpm_project_clean.deleteflag,entactmgt_tpm_project_clean.status,entactmgt_tpm_project_clean.partitionid,entactmgt_tpm_project_clean.creator,entactmgt_tpm_project_clean.createtime,entactmgt_tpm_project_clean.modifieduser,entactmgt_tpm_project_clean.modifiedtime,entactmgt_tpm_project_clean.isbudget,entactmgt_tpm_project_clean.plazaid,entactmgt_tpm_project_clean.plazacode,entactmgt_tpm_project_clean.plazatypeid,entactmgt_tpm_project_clean.isopen,entactmgt_tpm_project_clean.opendate,entactmgt_tpm_project_clean.projecttype,entactmgt_tpm_project_clean.isbugetcontrol,entactmgt_tpm_project_clean.ispopularizetransfer,entactmgt_tpm_project_clean.projectcompanyid,entactmgt_tpm_project_clean.plazaassettypeid,entactmgt_tpm_project_clean.citylevelid
B053318C-6C17-4F48-A863-473EACACD952,,宁波江北万达广场,,,false,1,,,,,,true,1000264,NBJB,2,true,2010-12-10 00:00:00.0,1,true,true,A5654537-8F84-45E8-90C0-2F96EF6DBB3E,1,2
DEF0F82E-1644-4DBB-9239-4ABB0731AE4D,,抚州万达广场,,,false,1,,,,,,true,1001151,FZ,3,true,2017-06-16 00:00:00.0,0,true,true,46F8533B-4BB4-496B-A0C3-A16FAF6554A1,1,3
819A394E-300A-4107-ADF1-4AF09D55DDA8,,梅州万达广场,,,false,1,,,,,,true,1001127,MZ,4,true,2016-09-23 00:00:00.0,0,true,true,7A7014C2-336C-4C1E-BBE3-C1922BCEAD72,1,3
D6949106-4744-4E8E-A613-4AFDD58BEBEA,,合肥包河万达广场,,,false,1,,,,,,true,1000110,HFBH,1,true,2010-12-23 00:00:00.0,1,true,true,D5A765A1-7BC6-4616-910C-A90F3DAE707C,1,2
69316740-6370-441D-A122-4B7C7F9B9B4D,,亳州万达广场,,,false,1,,,,,,true,1001117,BZ,3,true,2016-08-12 00:00:00.0,0,true,true,F4FC4970-5996-4A59-99B8-1C9C82D9730C,1,3
2327ED85-69AF-4206-BE3C-4BC5E328D19D,,重庆巴南万达广场,,,false,1,,,,,,true,1001009,CQBN,3,true,2015-10-30 00:00:00.0,1,true,false,58852788-4DDF-4CC1-9CEF-1BC244722A17,1,2
0B89A62D-2352-4829-BCA0-4BEBA25E9E58,,上海闵行颛桥万达广场,,,false,1,,,,,,true,1001646,SH*X*Q,3,true,2017-12-22 00:00:00.0,,true,false,C7DA50F3-C9B7-4C70-995D-57E8E154AA59,1,1
B3321EB6-326C-4551-8181-4CC785F8F3D8,,通辽万达广场,,,false,1,,,,,,true,1001114,TL,3,true,2016-07-22 00:00:00.0,,true,false,FC5A6E59-725C-47DE-BA3E-06C99090EE79,1,3
94EFE9CB-2D02-466A-A83B-4D4EFCAEEF70,,昆明CBD万达广场,,,false,1,,,,,,true,1000744,KMCBD,2,true,2014-10-31 00:00:00.0,1,true,true,1C79592B-85D5-4831-9888-2E3F8CB920A7,1,2
07D94D90-CB50-49AC-B108-4F524CF1B022,,广东湛江万达广场,,,false,1,,,,,,true,1001110,GDZJ,2,true,2016-06-25 00:00:00.0,,true,false,4AD2A060-D323-4E5F-BC53-CC521FB392B8,1,3
F844C7E2-8A12-4327-A064-4FBF1C708F5B,,北京怀柔万达广场,,,false,1,,,,,,true,1001724,BJHR,4,true,2018-01-01 00:00:00.0,0,true,false,,1,1
57FD6A4A-C153-4ABE-A065-528F8A8AB31F,,洛阳万达广场,,,false,1,,,,,,true,1000300,LY,1,true,2009-12-22 00:00:00.0,1,true,true,4A05A20C-6AA9-4F30-BBDE-9C7F82DB0BA8,1,3
0CF6F459-E81E-46B9-97E7-5415CDD53D99,,海口秀英万达广场,,,false,1,,,,,,true,1001148,HKXY,3,true,2016-12-23 00:00:00.0,0,true,true,FE0CF8BF-9DD6-4A04-A609-A88F8264A182,1,3
548B29AC-3A00-4D38-8D95-5454F5CD72CA,,常州新北万达广场,,,false,1,,,,,,true,1000285,CZXB,1,true,2011-12-10 00:00:00.0,1,true,true,039162A6-1CBF-4D4F-80D3-1D2BAC5FFF2E,1,3
BDFB93BB-FDF7-43FA-A237-5469D579B7D4,,阜阳颍泉万达广场,,,false,1,,,,,,true,1001150,FY*Q,4,true,2017-06-16 00:00:00.0,0,true,true,046146FB-4615-48C4-BE65-70454922A65B,1,3
075BCB73-C206-41ED-ABE0-56373C6C5E0B,,哈尔滨香坊万达广场,,,false,1,,,,,,true,1000297,HEBXF,1,true,2007-10-25 00:00:00.0,1,true,true,781E4F27-4517-4699-B300-7D648969A3E0,1,2
BBD5DE1B-84BB-46AE-92E8-568832185B8E,,无锡江阴万达广场,,,false,1,,,,,,true,1000386,WXJY,4,true,2012-09-22 00:00:00.0,1,true,true,BCD0ABB7-0682-4C86-B22E-97CBF5C2A464,1,3
B189C2C9-8D92-4FF7-A286-568F1CD2B2C9,,鄂尔多斯万达广场,,,false,1,,,,,,true,1001820,EEDS,4,true,2019-08-30 00:00:00.0,,true,false,,1,
456DD286-5C09-4DAD-8853-56F912510BD9,,玉溪万达广场,,,false,1,,,,,,true,1001844,YX,4,true,2019-12-27 00:00:00.0,,true,false,,1,
A653F26D-0C0C-4F67-9C7A-57998A511868,,常熟万达广场,,,false,1,,,,,,true,1001605,CS,3,true,2017-07-22 00:00:00.0,0,true,true,AFB33372-19DC-4155-982F-3C054F691AAD,1,3
7C654D62-17E6-407E-90DC-58DF577F615D,,青岛台东路万达广场,,,false,1,,,,,,true,1001066,QDTDL,1,true,2003-09-25 00:00:00.0,0,false,false,,1,2
29549A70-6C98-453E-B052-592F297DA22B,,阜新万达广场,,,false,1,,,,,,true,1001811,FX,3,true,2018-08-10 00:00:00.0,,true,false,,1,3
D6383624-7C10-46D4-85D3-598B2C940141,,无锡滨湖万达广场,,,false,1,,,,,,true,1000288,WXBH,1,true,2010-09-17 00:00:00.0,1,true,true,A23A2F47-2B62-4F64-AFFC-29B054480DF1,1,2
DCBF7BB8-9976-48FF-8652-59E7B2AFBBC0,,常州武进万达广场,,,false,1,,,,,,true,1000705,CZWJ,4,true,2014-08-08 00:00:00.0,1,true,true,9BA32E0F-A68F-4714-93DB-CD3BEDF69B9A,1,3
E3534844-ECE2-4E00-BFA9-59F2ED4FF617,,淮南万达广场,,,false,1,,,,,,true,1001832,HN,4,true,2018-09-07 00:00:00.0,,true,false,,1,
78AB6C20-6146-484B-8FF3-5BC888E359F6,,昆山万达广场,,,false,1,,,,,,true,1001604,KS,3,true,2017-07-08 00:00:00.0,0,true,true,31F39FAC-A09A-482E-933D-D64FCA80C376,1,3
8A2EB76A-376A-40FF-9489-5BEB4D83D47C,,常州溧阳万达广场,,,false,1,,,,,,true,1001648,CZ*Y,3,true,2018-06-01 00:00:00.0,,true,false,0B1046B8-61AF-4EF9-8573-5182886D0462,1,3
59BA37A1-5A53-4B10-9E99-5D2635C5BD04,,长治万达广场,,,false,1,,,,,,true,1001819,CZ,4,true,2018-09-22 00:00:00.0,,true,false,,1,
68B17149-D3A3-4E50-9151-5DCB9196B24E,,上饶万达广场,,,false,1,,,,,,true,1001137,SR,2,true,2016-11-25 00:00:00.0,0,true,false,6628BC06-678C-4596-BBE5-6DEEB1750073,1,3
D89DBA87-E12E-4B93-8B41-5DE29C65D792,,廊坊万达广场,,,false,1,,,,,,true,1000282,LF,1,true,2011-11-11 00:00:00.0,1,true,true,C27DCA5A-0948-4251-9B1D-E6C27AB6BD1D,1,3
081941F9-CB61-4B7B-BD94-5F3EB95633D0,,北京槐房万达广场,,,false,1,,,,,,true,1001146,BJHF,3,true,2016-12-22 00:00:00.0,0,true,false,A3C26897-BD33-43F6-B452-E01A34FA3E3B,1,1
87F53D28-6967-4492-816B-5F49854EBBD0,,晋江万达广场,,,false,1,,,,,,true,1000390,JJ,2,true,2012-08-10 00:00:00.0,1,true,true,02897F5A-6ED6-4CF2-A2B2-611E9235FC79,1,3
D8FBBB23-D839-4C81-8B75-609190779A49,,长春宽城万达广场,,,false,1,,,,,,true,1000463,CCKC,3,true,2013-08-16 00:00:00.0,1,true,true,571093CF-53D8-4ABD-BA05-561754B1738F,1,2
2867C918-39AC-4775-8C53-616CA9423F3C,,盐城万达广场,,,false,1,,,,,,true,1001485,YC,4,true,2017-06-29 00:00:00.0,0,true,false,24E9D8D3-A509-423F-BA60-FC89F0ED4E3E,1,3
124CC9D6-047C-4771-ADE3-623FB6F31A8E,,大连普兰店万达广场,,,false,1,,,,,,true,1001285,DLPL,4,true,2017-07-29 00:00:00.0,0,true,false,B9872E95-5876-478F-8F4E-E2C64CBD9265,1,3
16D147D6-7BB9-465B-9CC7-624812679C7C,,乌鲁木齐高新区万达广场,,,false,1,,,,,,true,1001818,WLMQGXQ,4,true,2018-09-21 00:00:00.0,,true,false,,1,
8BE28CDC-AAA2-4494-93F7-6289BA635EE7,,武汉汉街万达广场,,,false,1,,,,,,true,1000483,WHHJWD,3,true,2013-09-28 00:00:00.0,1,true,true,A63D9ABA-83B7-4EEE-8070-80302636EFF3,1,2
AE54D0BD-EDBF-45DB-9C58-6398AC79BBB4,,大连甘井子万达广场,,,false,1,,,,,,true,1001564,DLGJZ,3,true,2017-09-29 00:00:00.0,0,true,false,,1,2
EB55A0C8-E66A-46AA-ACA2-63A331ECEC3B,,营口鲅鱼圈万达广场,,,false,1,,,,,,true,1001136,YK*YQ,4,true,2016-11-19 00:00:00.0,0,true,true,002E1602-1309-4DCB-ADBB-CE66989D8B87,1,3
AB6F9640-BAC9-475F-AA76-640785D15206,,上海金山万达广场,,,false,1,,,,,,true,1000905,SHJS,3,true,2015-07-17 00:00:00.0,1,true,false,07BD7FC1-CF74-40C4-9869-A214834E09EC,1,3
19069E5F-F0CD-4E37-8B27-6424A7959EE1,,贵阳观山湖万达广场,,,false,1,,,,,,true,1001647,GYGSH,3,true,2018-05-25 00:00:00.0,,true,false,3A26FA52-CC83-42F1-A634-990F2ED92B97,1,2
C140A291-97FE-4D2E-A192-64384F0F2040,,大连万达中心,,,false,1,,,,,,true,1001204,DLWDZX,3,true,2012-02-25 00:00:00.0,,true,false,,1,2
AD2B1626-7E89-4B04-926C-646DBB494B9A,,青岛CBD万达广场,,,false,1,,,,,,true,1000271,QDCBD,2,true,2009-11-27 00:00:00.0,1,true,true,4FA9452F-1033-4A47-85EB-9FACEB6E9B86,1,2
C4D72C23-E2F9-4C77-BBDB-6488D484D449,,北京石景山万达广场,,,false,1,,,,,,true,1000265,BJSJSWDGC,1,true,2008-12-20 00:00:00.0,1,true,true,080159F5-1B52-45AD-88A1-BE7184BE10B1,1,1
B70F53FC-2FDA-4815-9071-6527CEE54892,,苏州吴中万达广场,,,false,1,,,,,,true,1001013,SZWZ,2,true,2015-12-11 00:00:00.0,1,true,false,317AE973-B24F-4BD4-BC5D-735A1D05A3C4,1,2
14A61BF9-02CC-49C0-AC08-66D447F47FB8,,东营东城万达广场,,,false,1,,,,,,true,1001806,DYDC,4,true,2018-07-12 00:00:00.0,,true,false,0D488363-8151-4ABF-A5B8-5739D7956B06,1,
74D7F64D-4CA8-4F2F-8852-68EC814A283D,,淮北万达广场,,,false,1,,,,,,true,1001812,HB,4,true,2018-09-28 00:00:00.0,,true,false,,1,
B1664B26-2DC7-4439-956B-6A40D2C5B575,,湖北荆门万达广场,,,false,1,,,,,,true,1001104,HBJM,3,true,2016-06-03 00:00:00.0,,true,false,B0AEDDCF-DF41-4942-A5EF-8489A951D7E0,1,3
04D46844-60F9-4EB1-A4B6-6A9A3D6C4584,,抚顺万达广场,,,false,1,,,,,,true,1000547,FS,4,true,2013-10-25 00:00:00.0,1,true,true,43BD57E3-2D9B-49D8-816F-2AEA4461D21D,1,3
368B8C3D-0618-41A6-8A0A-6B551FF76CC8,,东莞长安万达广场,,,false,1,,,,,,true,1000545,DGCA,2,true,2013-07-20 00:00:00.0,1,true,true,093944BA-E29D-4C33-8E17-F115006DFE0A,1,3
C5A401AD-9A5F-4745-B6D6-6D51A3FEB9CA,,大同万达广场,,,false,1,,,,,,true,1001628,DT,3,true,2017-10-20 00:00:00.0,0,true,true,,1,3
74D7014C-FCB4-4BE5-9848-6E46AEDC5167,,哈尔滨万达茂,,,false,1,,,,,,true,1001651,,3,true,2017-06-30 00:00:00.0,,true,false,,1,2
F9027FB5-81F1-481C-A62A-6E8327733208,,潍坊万达广场,,,false,1,,,,,,true,1000646,WF,4,true,2014-05-23 00:00:00.0,1,true,true,4CD1257D-FD63-4DF7-9262-4F92A708393D,1,3
F962E82B-01B9-4CD0-AB48-6F0AADFAD4AE,,重庆南坪万达广场,,,false,1,,,,,,true,1000294,CQNP,1,true,2009-12-11 00:00:00.0,1,true,true,9D82347A-DFC4-4ACE-AE47-1D1CF7691C61,1,2
3B384F78-D729-4754-89EE-7033C07706AE,,遂宁万达广场,,,false,1,,,,,,true,1001131,SN,3,true,2016-10-21 00:00:00.0,,true,false,6E1DE48C-D0A6-49B4-AAA9-D7440C110DBB,1,3
079981A8-5595-441A-8E37-7069F19508E4,,济宁太白路万达广场,,,false,1,,,,,,true,1000664,JNTBL,3,true,2014-07-05 00:00:00.0,1,true,true,B3CF8C70-33B6-45F1-BBFB-0A5C0135F9BC,1,3
D90615A4-8F70-4CAD-A35E-70EE29117A0C,,西安大明宫万达广场,,,false,1,,,,,,true,1000603,XADMG,1,true,2013-11-22 00:00:00.0,1,true,true,10F63549-9759-45D3-8BA9-6FD8775A19E5,1,2
75460E52-E5AC-4964-AC4F-71B0220CBAB8,,四川内江万达广场,,,false,1,,,,,,true,1000886,SCNJ,2,true,2015-06-26 00:00:00.0,1,true,true,0B80BB18-C18A-4207-97EF-2752E44AE408,1,3
D0E08975-9F14-4538-A74B-722EED5E5BC0,,湘潭万达广场,,,false,1,,,,,,true,1001105,XT,3,true,2016-06-10 00:00:00.0,0,true,true,76D1D393-2766-44BE-BC04-BAAF4173A5A3,1,3
28E0474F-C944-4135-A097-72AD81B588F0,,福州仓山万达广场,,,false,1,,,,,,true,1000268,FZCS,1,true,2011-12-02 00:00:00.0,1,true,true,B7C00C2F-A3B6-499D-9916-1BD7FCFC5C54,1,2
F65DFEF8-8D4C-4469-A8F7-73E6649EB5E5,,包头九原万达广场,,,false,1,,,,,,true,1001810,BTJY,3,true,2018-08-17 00:00:00.0,,true,false,57C16A4C-1ABD-4594-8749-CB647DC585B6,1,3
202617DD-2D8B-4038-B434-7509C504EDE0,,南京溧水万达广场,,,false,1,,,,,,true,1001840,NJLS,4,true,2018-09-28 00:00:00.0,,true,false,,1,
99372F3B-8E3C-471E-95C9-77DE7526D1CC,,宜宾万达广场,,,false,1,,,,,,true,1001836,YB,4,true,2018-12-21 00:00:00.0,,true,false,,1,
DD2A9AD9-7081-4706-BF59-77E03BF35BDD,,江苏太仓万达广场,,,false,1,,,,,,true,1000395,JSTC,3,true,2012-12-07 00:00:00.0,1,true,true,46777D3A-003E-435D-8C5C-60D44D1DF463,1,3
51CA3EB6-D4AB-44F1-9AA2-79E04CCCA66F,,烟台经开万达广场,,,false,1,,,,,,true,1001147,YTKFQ,4,true,2016-12-23 00:00:00.0,0,true,true,8E22562A-E6AF-458D-A874-0BE925D2518C,1,3
0B7A1A74-E7A3-43B7-8269-7A2A201180E1,,淮安万达广场,,,false,1,,,,,,true,1000270,HA,2,true,2011-01-07 00:00:00.0,1,true,true,5D9213A0-2F47-4985-9EBE-4FEA8F3B859A,1,3
97118EE8-9C06-4907-A00F-7AD805CAF98E,,宁波鄞州万达广场,,,false,1,,,,,,true,1000109,NBYZ,1,true,2006-12-22 00:00:00.0,1,true,true,46EA14A1-E26C-48EF-93FE-40D2F5804CB5,1,2
49DEBC53-BFF6-4E43-AB10-7B195166E600,,邢台万达广场,,,false,1,,,,,,true,1001826,XT,4,true,2018-11-02 00:00:00.0,,true,false,,1,
2A2583CE-DD5F-41DD-A722-7C3C07A080C7,,江门新会万达广场,,,false,1,,,,,,true,1001816,JMXH,4,true,2018-08-24 00:00:00.0,,true,false,95C0EFF4-3EA7-42B8-B163-CCD6E877C0B3,1,
3F18B093-5A27-492D-95A5-7D64253BF0A4,,西宁万达广场,,,false,1,,,,,,true,1001115,XN,2,true,2016-07-29 00:00:00.0,,true,false,E4F466DF-7D6B-4C24-90DD-A5BC19C6317F,1,3
FC89F85E-1901-40E7-A42E-7FD4C67ABCCB,,东营万达广场,,,false,1,,,,,,true,1000985,DY,3,true,2015-08-15 00:00:00.0,1,true,false,A48E5813-0D12-4913-A9CA-B7D4029A5F96,1,3
7216AAF3-E2C8-49A1-937C-80E12B25F247,,宁德万达广场,,,false,1,,,,,,true,1000389,ND,2,true,2012-08-11 00:00:00.0,1,true,true,B1BDD876-1EC2-4D52-923D-A5C94EBC4E01,1,3
B956B8FA-BC5C-453D-B183-82052D1E80A8,,重庆綦江万达广场,,,false,1,,,,,,true,1001629,ZQ*J,4,true,2017-10-27 00:00:00.0,,true,false,57B88372-4B3F-4FC4-9BFE-54F79D133661,1,3
691B7D1A-51AA-4D3A-A8F6-829787ACF6D4,,乌鲁木齐德汇万达广场,,,false,1,,,,,,true,1001424,WLMQDH,3,true,2018-01-28 00:00:00.0,0,true,true,,1,2
BC314091-DBD1-4D5E-93C5-83DAD8967F14,,酒泉万达广场,,,false,1,,,,,,true,1001631,JQ,4,true,2017-11-10 00:00:00.0,,true,false,9C6EF0EF-F3C2-4431-A0FC-CE0CE7D5290D,1,3
2D6A480D-9957-4B36-A967-846757DF7B5A,,沈阳太原街万达广场,,,false,1,,,,,,true,1000277,SYTYJ,1,true,2009-11-20 00:00:00.0,1,true,true,8D5D2161-241C-43AD-849B-EBF75BEE7CDD,1,2
D10E672E-A4FD-43CB-8811-849A7C9913E0,,金华万达广场,,,false,1,,,,,,true,1000685,JH,3,true,2014-07-25 00:00:00.0,1,true,true,1F1482D5-FC2E-450B-A4B7-543FE40FFCAF,1,3
D15D2655-DFAA-4DCC-9EAB-85C9331C4ED7,,大连开发区万达广场,,,false,1,,,,,,true,1001005,DLKFQ,3,true,2015-08-29 00:00:00.0,1,true,false,8BC0B30A-49AC-421D-8C8A-47928BDF2867,1,2
6F273544-AFFE-42E3-B596-868889562FB8,,郑州二七万达广场,,,false,1,,,,,,true,1000388,ZZEQ,1,true,2012-10-13 00:00:00.0,1,true,true,BFAC28E4-5038-4593-B4C9-51B11F4F2CF4,1,2
DC5513D8-92D7-4F78-A228-86E99200BF20,,成都蜀都万达广场,,,false,1,,,,,,true,1001084,CDSD,2,true,2016-04-29 00:00:00.0,,true,false,42BFD3D3-1D17-4BC5-8356-9DCAA11F28AF,1,2
90942219-B32B-46DE-81F7-88485DA791FF,,晋中万达广场,,,false,1,,,,,,true,1001444,JZ,4,true,2017-08-18 00:00:00.0,0,true,true,66880FE0-0830-44AD-BAF9-A66795F1E10D,1,3
A53E59CC-8B41-425A-842E-88A971545CEB,,上海松江万达广场,,,false,1,,,,,,true,1000663,SHSJ,2,true,2014-05-30 00:00:00.0,1,true,true,3C52E52E-3E3D-4CFF-994B-626430E2FF93,1,1
9AACF28D-8AA6-4B5D-907B-89E57B11E928,,成都龙泉驿万达广场,,,false,1,,,,,,true,1001825,CDLQY,4,true,2018-10-26 00:00:00.0,,true,false,371AD813-B1F7-47BB-AF39-69C89D894EC8,1,
983776F6-DDE7-4621-AE7B-8B4B19F0E526,,泉州安溪万达广场,,,false,1,,,,,,true,1001885,QZAX,4,true,2018-12-28 00:00:00.0,,true,false,,1,
F49D152D-9B06-4C81-8CEB-8B88F67FA70C,,沈阳北一路万达广场,,,false,1,,,,,,true,1000392,SYBYL,3,true,2012-08-31 00:00:00.0,1,true,true,8D5D2161-241C-43AD-849B-EBF75BEE7CDD,1,2
1381080F-0689-4F64-87B5-8CAAC08B6DA3,,延安万达广场,,,false,1,,,,,,true,1001785,YA,3,true,2018-02-09 00:00:00.0,,true,false,,1,3
C00530C0-E859-414B-AE19-8D340433CDE0,,黄冈万达广场,,,false,1,,,,,,true,1001649,HG,3,true,2018-06-22 00:00:00.0,,true,false,15799E47-352C-4ABB-BC33-B39D3306A36D,1,3
EBA4198C-6C47-4962-8F9B-8D5545C432C7,,太原龙湖万达广场,,,false,1,,,,,,true,1001008,TYLH,1,true,2015-09-30 00:00:00.0,1,true,false,A3D24E1B-CF9E-4AF2-A947-ADECD6532FC6,1,2
07A4BCE0-680A-4638-AFCD-9078E113B092,,泰州海陵万达广场,,,false,1,,,,,,true,1000273,TZ,2,true,2011-12-09 00:00:00.0,1,true,true,69821790-4AA7-491B-A8B4-5927918B5C8B,1,3
45A71A73-B6D6-432C-9F2F-935FCEDF57B3,,大连高新万达广场,,,false,1,,,,,,true,1000423,DLGX,2,true,2013-05-25 00:00:00.0,1,true,true,2E41CAC8-08AD-4B60-A15E-69D779D70851,1,2
6FF0D2AA-0A79-4EC0-8B71-938745D622A0,,芜湖镜湖万达广场,,,false,1,,,,,,true,1000387,WHJH,3,true,2012-09-07 00:00:00.0,1,true,true,6151D61F-69E1-4308-9E3D-8410055CE224,1,3
A07E5C38-9724-45C5-8915-94C11A1C0F3F,,烟台芝罘万达广场,,,false,1,,,,,,true,1000773,YTZF,2,true,2014-11-21 00:00:00.0,1,true,true,219691D0-2040-428A-971F-2DCDC028A618,1,2
7E357AB9-CA6F-45B9-BA7B-94F4885B96F2,,阜阳颍州万达广场,,,false,1,,,,,,true,1001006,FYYZ,1,true,2015-08-29 00:00:00.0,1,true,false,FFF7588C-DBBF-4162-8DD1-D1641BD2E91C,1,3
EB04D2FC-CB37-4A5C-903E-954CC443C031,,北京通州万达广场,,,false,1,,,,,,true,1000772,BJTZ,1,true,2014-11-29 00:00:00.0,1,true,true,EBD3A884-B38A-4002-9146-DBDC260B9DB5,1,1
62D3B3F8-44C1-4419-B722-95581F1B503A,,宜春万达广场,,,false,1,,,,,,true,1001130,YC,4,true,2016-10-21 00:00:00.0,0,true,true,A9491FAA-6080-43A7-B233-979C3F54A6DD,1,3
359BC46D-C563-4C7C-9F23-96FBF60E1A11,,宁波奉化万达广场,,,false,1,,,,,,true,1001805,NBFH,4,true,2018-05-26 00:00:00.0,,true,false,,1,3
74FE2404-FD41-4FD0-83C6-993A4F75C885,,沈阳铁西万达广场,,,false,1,,,,,,true,1000266,SYTX,3,true,2010-08-20 00:00:00.0,1,true,true,8D5D2161-241C-43AD-849B-EBF75BEE7CDD,1,2
BE31FDC2-95D0-4897-BF64-993A53958B8A,,重庆北碚万达广场,,,false,1,,,,,,true,1001544,ZQB*,4,true,2017-08-25 00:00:00.0,0,true,true,5AEA51C0-AE9F-427F-B2ED-7BEA998287D9,1,2
5CCCB1C2-E4AC-40C0-9F24-9A53B7D41140,,满洲里万达广场,,,false,1,,,,,,true,1000645,MZL,4,true,2014-06-27 00:00:00.0,1,true,true,55E4F8AF-64AB-4A2D-A58F-52F1BEB8B35C,1,3
BC45418A-B30F-4D78-81BB-9B9313A23485,,榆林万达广场,,,false,1,,,,,,true,1001839,YL,4,true,2018-12-22 00:00:00.0,,true,false,,1,
FB8DC2DA-49E5-425D-A591-9C8E76EC906C,,湖北黄石万达广场,,,false,1,,,,,,true,1000887,HBHS,2,true,2015-07-03 00:00:00.0,1,true,false,548F2428-481F-4F41-999A-F7D112E4484D,1,3
727930E1-33BF-4E46-9CCF-9E72B1707EA3,,绵阳CBD万达广场,,,false,1,,,,,,true,1001986,MYCBD,4,true,2018-12-21 00:00:00.0,1,true,false,,1,3
