field_w_org_ds_cleaan.mdp_guid,field_w_org_ds_cleaan.orgid,field_w_org_ds_cleaan.orgcode,field_w_org_ds_cleaan.orgname,field_w_org_ds_cleaan.status,field_w_org_ds_cleaan.extsysidone,field_w_org_ds_cleaan.shortname,field_w_org_ds_cleaan.businessarea,field_w_org_ds_cleaan.parentunitid,field_w_org_ds_cleaan.extsysidtwo,field_w_org_ds_cleaan.parentstatus,field_w_org_ds_cleaan.enname,field_w_org_ds_cleaan.areaid,field_w_org_ds_cleaan.operdate,field_w_org_ds_cleaan.address,field_w_org_ds_cleaan.mtag,field_w_org_ds_cleaan.openstatus
16384281,2008503124,134469,咸阳丽彩万达广场,1,1001384,西安区域,,,S1194,,,69174705,2017-01-20 00:00:00.0,,,NULL
999999,999999,999999,武汉汉街万达广场,1,1000483,武汉区域,,,S1071,,,69174690,2013-09-28 00:00:00.0,武昌区中北路楚河汉街,,NULL
28048441,2131518593,136164,六盘水万达广场,1,1001640,昆明区域,,,S1231,,,1516332806,2017-12-08 00:00:00.0,,,NULL
27435561,2123250979,136123,酒泉万达广场,1,1001631,银川区域,,,S1235,,,553847470,2017-11-10 00:00:00.0,,,NULL
29154501,425054231,139721,延安万达广场,1,1001785,西安区域,,,S1244,,,69174705,2018-02-09 00:00:00.0,,,NULL
26982185,2008502980,134460,大同万达广场,1,1001628,太原区域,,,S1206,,,1516332803,2017-10-20 00:00:00.0,,,NULL
263450460,263450460,137705,奉化万达广场,1,1001805,宁波区域,,,S1248,,,69174712,2018-05-26 00:00:00.0,,,NULL
28940821,2020254030,134540,西安高新万达广场,1,1001635,西安区域,,,S1234,,,69174705,2017-11-18 00:00:00.0,,,NULL
51220,66340,103174,武汉中央文化区楚河汉街,1,1000286,武汉区域,,,S1070,,,69174690,2011-09-30 00:00:00.0,武昌区中北路楚河汉街,,NULL
30471261,2093823935,135140,成都武侯万达广场,1,1001645,成都区域,,,S1229,,,69174721,2017-12-22 00:00:00.0,,,NULL
30471282,2081194639,135023,上海闵行颛桥万达广场,1,1001646,上海区域,,,S1216,,,69174687,2017-12-22 00:00:00.0,,,NULL
13674142,1360939277,125178,合肥万达茂,1,1001184,合肥区域,,,S1192,,,69174764,2016-09-24 00:00:00.0,,,NULL
13674143,1379008998,125239,南昌万达茂,1,1001164,南昌区域,,,S1193,,,69174767,2016-05-28 00:00:00.0,,,NULL
13674144,820361888,117135,西双版纳万达广场,1,1000964,昆明区域,,,S1125,,,1516332806,2015-09-26 00:00:00.0,,,NULL
28728401,2014525243,134521,北京丰台西铁营万达广场,1,1001644,北京区域,,,S1203,,,69174684,2017-12-22 00:00:00.0,,,NULL
28728402,209251324,137238,北京怀柔万达广场,1,1001724,北京区域,,,S1294,,,69174684,2018-01-01 00:00:00.0,,,NULL
29915861,2050489945,134949,天津塘沽万达广场,1,1001634,天津区域,,,S1208,,,1516332802,2017-12-29 00:00:00.0,,,NULL
7501026,2013364900,134502,大连甘井子万达广场,1,1001564,大连区域,,,S1195,,,1516332317,2017-09-29 00:00:00.0,,,NULL
7501021,531253203,114187,广东湛江万达广场,1,1001110,广州区域,,,S1178,,,69174718,2016-06-25 00:00:00.0,,,NULL
7501022,1436507060,126370,海口秀英万达广场,1,1001148,广州区域,,,S1182,,,69174718,2016-12-23 00:00:00.0,,,NULL
7501023,1968498902,133911,丹寨旅游小镇,1,1001650,昆明区域,,,S1236,,,1516332806,2017-07-01 00:00:00.0,,,NULL
7501024,66743,103577,唐山路南万达广场,1,1000323,天津区域,,,S1101,,,1516332802,2011-12-23 00:00:00.0,,,NULL
7501025,66728,103562,石家庄裕华万达广场,1,1000269,北京区域,,,S1120,,,69174684,2011-09-23 00:00:00.0,,,NULL
29154481,2042893664,134729,桂林叠彩万达广场,1,1001637,南宁区域,,,S1223,,,1516332809,2017-11-24 00:00:00.0,,,NULL
7500822,1820506276,132755,盐城万达广场,1,1001485,南京区域,,,S1213,,,69174737,2017-06-29 00:00:00.0,,,NULL
31322381,527118528,142214,南平万达广场,1,,福州区域,,,,,,69174740,2018-10-19 00:00:00.0,,,NULL
7500995,1516243969,127793,南宁江南万达广场,1,1001405,南宁区域,,,S1224,,,1516332809,2017-06-23 00:00:00.0,,,NULL
27283962,2044282889,134769,曲靖万达广场,1,1001630,昆明区域,,,S1232,,,1516332806,2017-10-27 00:00:00.0,,,NULL
7500791,956806309,118344,义乌万达广场,1,1001118,宁波区域,,,S1166,,,69174712,2016-09-16 00:00:00.0,,,NULL
7500937,1251830559,123685,车城万达广场,1,1001606,长春区域,,,S1202,,,1516332318,2017-09-08 00:00:00.0,,,NULL
306324444,306324444,138267,青岛东方影都万达茂,1,1001744,青岛区域,,,S1245,,,1516332801,2018-04-28 00:00:00.0,,,NULL
7500781,1666236004,129240,清远万达广场,1,1001284,广州区域,,,S1183,,,69174718,2016-12-29 00:00:00.0,,,NULL
7500782,1666235433,129213,广州金沙洲万达广场,1,1001425,广州区域,,,S1221,,,69174718,2017-06-30 00:00:00.0,,,NULL
7500783,1304102761,124575,佛山三水万达广场,1,1001133,广州区域,,,S1180,,,69174718,2016-11-18 00:00:00.0,,,NULL
7500784,902178043,117922,广州南沙万达广场,1,1001015,广州区域,,,S1026,,,69174718,2015-12-22 00:00:00.0,,,NULL
7500788,185034942,111404,广州增城万达广场,1,1000643,广州区域,,,S1027,,,69174718,2014-05-16 00:00:00.0,,,NULL
7500789,69810926,107894,广州番禺万达广场,1,1000503,广州区域,,,S1028,,,69174718,2014-11-08 00:00:00.0,,,NULL
7500790,67159,103993,广州白云万达广场,1,1000280,广州区域,,,S1029,,,69174718,2010-12-17 00:00:00.0,,,NULL
7500792,934351669,117963,台州万达广场,1,1001106,宁波区域,,,S1165,,,69174712,2016-06-17 00:00:00.0,,,NULL
7500793,484545906,113820,温州平阳万达广场,1,1000769,宁波区域,,,S1078,,,69174712,2014-12-06 00:00:00.0,,,NULL
7500794,264050326,111646,金华万达广场,1,1000685,宁波区域,,,S1127,,,69174712,2014-07-25 00:00:00.0,,,NULL
7500795,69810920,107892,宁波余姚万达广场,1,1000543,宁波区域,,,S1040,,,69174712,2013-11-01 00:00:00.0,,,NULL
7500796,66485,103319,宁波江北万达广场,1,1000264,宁波区域,,,S1041,,,69174712,2010-12-10 00:00:00.0,,,NULL
7500797,66475,103309,宁波鄞州万达广场,1,1000109,宁波区域,,,S1042,,,69174712,2006-12-22 00:00:00.0,,,NULL
7500798,66515,103349,温州龙湾万达广场,1,1000385,宁波区域,,,S1079,,,69174712,2012-11-30 00:00:00.0,,,NULL
7500799,1776016195,132522,枣庄万达广场,1,1001484,济南区域,,,S1204,,,553821631,2017-06-29 00:00:00.0,,,NULL
7500802,750916324,116078,泰安万达广场,1,1001004,济南区域,,,S1038,,,553821631,2015-08-21 00:00:00.0,,,NULL
7500803,899555364,117853,济南高新万达广场,1,1001108,济南区域,,,S1158,,,553821631,2016-06-18 00:00:00.0,,,NULL
7500804,658722648,115181,东营万达广场,1,1000985,济南区域,,,S1092,,,553821631,2015-08-15 00:00:00.0,,,NULL
7500805,184830027,111375,济宁太白路万达广场,1,1000664,济南区域,,,S1115,,,553821631,2014-07-05 00:00:00.0,,,NULL
7500806,66558,103392,济南魏家庄万达广场,1,1000263,济南区域,,,S1039,,,553821631,2010-11-19 00:00:00.0,,,NULL
7500807,1823894839,132825,重庆北碚区万达广场,1,1001544,重庆区域,,,S1237,,,69174770,2017-08-25 00:00:00.0,,,NULL
7500808,1825443141,132920,重庆綦江区万达广场,1,1001629,重庆区域,,,S1238,,,69174770,2017-10-27 00:00:00.0,,,NULL
7500809,1436506469,126334,重庆永川万达广场,1,1001123,重庆区域,,,S1176,,,69174770,2016-09-16 00:00:00.0,,,NULL
7500810,855627992,117384,重庆巴南万达广场,1,1001009,重庆区域,,,S1012,,,69174770,2015-10-30 00:00:00.0,,,NULL
7500811,66694,103528,重庆万州万达广场,1,1000563,重庆区域,,,S1010,,,69174770,2013-07-05 00:00:00.0,,,NULL
7500812,66682,103516,重庆南坪万达广场,1,1000294,重庆区域,,,S1011,,,69174770,2009-12-11 00:00:00.0,,,NULL
7500814,1927227875,133618,新乡牧野区万达广场,1,1001626,郑州区域,,,S1211,,,69174749,2017-12-23 00:00:00.0,,,NULL
7500815,1880957755,133313,焦作万达广场,1,1001584,郑州区域,,,S1209,,,69174749,2017-06-30 00:00:00.0,,,NULL
7500816,1436507376,126388,郑州惠济万达广场,1,1001134,郑州区域,,,S1147,,,69174749,2016-11-18 00:00:00.0,,,NULL
7500817,1436505688,126292,三门峡万达广场,1,1001129,郑州区域,,,S1148,,,69174749,2016-10-21 00:00:00.0,,,NULL
7500818,620131808,114709,安阳万达广场,1,1000907,郑州区域,,,S1106,,,69174749,2015-07-25 00:00:00.0,,,NULL
7500820,66604,103438,郑州二七万达广场,1,1000388,郑州区域,,,S1091,,,69174749,2012-10-13 00:00:00.0,,,NULL
7500821,66648,103482,洛阳万达广场,1,1000300,郑州区域,,,S1132,,,69174749,2009-12-22 00:00:00.0,,,NULL
7500825,1110323076,121792,徐州铜山万达广场,1,1001132,南京区域,,,S1161,,,69174737,2016-10-28 00:00:00.0,,,NULL
7500826,129863772,108654,徐州云龙万达广场,1,1000624,南京区域,,,S1109,,,69174737,2013-12-06 00:00:00.0,,,NULL
7500827,152997206,108751,南京江宁万达广场,1,1000626,南京区域,,,S1047,,,69174737,2013-12-21 00:00:00.0,,,NULL
7500828,66410,103244,泰州万达广场,1,1000273,南京区域,,,S1114,,,69174737,2011-12-09 00:00:00.0,,,NULL
7500829,66396,103230,南京建邺区万达广场,1,1000289,南京区域,,,S1046,,,69174737,2009-12-18 00:00:00.0,,,NULL
7500830,66435,103269,淮安万达广场,1,1000270,南京区域,,,S1116,,,69174737,2011-01-07 00:00:00.0,,,NULL
7500831,66423,103257,镇江万达广场,1,1000278,南京区域,,,S1128,,,69174737,2011-08-12 00:00:00.0,,,NULL
7500833,1069520841,119879,牡丹江万达广场,1,1001113,黑龙江区域,,,S1152,,,1516376579,2016-07-22 00:00:00.0,,,NULL
7500835,624055733,114827,佳木斯万达广场,1,1001007,黑龙江区域,,,S1094,,,1516376579,2015-09-12 00:00:00.0,,,NULL
7500836,624056472,114838,鸡西万达广场,1,1001112,黑龙江区域,,,S1151,,,1516376579,2016-07-15 00:00:00.0,,,NULL
7500837,721008,105700,哈尔滨哈西万达广场,1,1000583,哈尔滨区域,,,S1032,,,69174743,2013-09-13 00:00:00.0,,,NULL
7500838,66832,103666,大庆萨尔图万达广场,1,1000299,黑龙江区域,,,S1103,,,1516376579,2011-11-25 00:00:00.0,,,NULL
7500839,66818,103652,哈尔滨香坊万达广场,1,1000297,哈尔滨区域,,,S1033,,,69174743,2007-10-25 00:00:00.0,,,NULL
7500840,1423241474,125749,北京丰台科技园万达广场,1,1001145,北京区域,,,S1137,,,69174684,2016-12-22 00:00:00.0,,,NULL
7500841,1436506566,126340,北京槐房万达广场,1,1001146,北京区域,,,S1138,,,69174684,2016-12-22 00:00:00.0,,,NULL
7500842,426147731,113350,北京通州万达广场,1,1000772,北京区域,,,S1003,,,69174684,2014-11-29 00:00:00.0,,,NULL
7500843,66202,103036,北京石景山万达广场,1,1000265,北京区域,,,S1002,,,69174684,2008-12-20 00:00:00.0,,,NULL
7500845,66231,103065,廊坊万达广场,1,1000282,北京区域,,,S1004,,,69174684,2011-11-11 00:00:00.0,,,NULL
7500846,1860599928,133017,成都崇州万达广场,1,1001624,成都区域,,,S1227,,,69174721,2017-09-01 00:00:00.0,,,NULL
7500847,1825185272,132912,雅安万达广场,1,1001505,成都区域,,,S1230,,,69174721,2017-07-21 00:00:00.0,,,NULL
7500848,1816140047,132677,成都金堂万达广场,1,1001638,成都区域,,,S1228,,,69174721,2017-12-08 00:00:00.0,,,NULL
7500849,1383421697,125318,德阳万达广场,1,1001125,成都区域,,,S1171,,,69174721,2016-09-17 00:00:00.0,,,NULL
7500850,1387408686,125419,成都青羊万达广场,1,1001142,成都区域,,,S1174,,,69174721,2016-12-10 00:00:00.0,,,NULL
7500851,1390440260,125524,乐山万达广场,1,1001126,成都区域,,,S1172,,,69174721,2016-09-23 00:00:00.0,,,NULL
7500852,1436505364,126286,成都双流万达广场,1,1001144,成都区域,,,S1175,,,69174721,2016-12-17 00:00:00.0,,,NULL
7500853,1061540192,118967,资阳万达广场,1,1001107,成都区域,,,S1170,,,69174721,2016-06-17 00:00:00.0,,,NULL
7500854,1031905166,118906,成都蜀都万达广场,1,1001084,成都区域,,,S1169,,,69174721,2016-04-29 00:00:00.0,,,NULL
7500856,1111860637,121813,遂宁万达广场,1,1001131,成都区域,,,S1173,,,69174721,2016-10-21 00:00:00.0,,,NULL
7500859,622026203,114797,广元万达广场,1,1000864,成都区域,,,S1108,,,69174721,2015-06-05 00:00:00.0,,,NULL
7500932,1069521433,119890,九江万达广场,1,1001504,南昌区域,,,S1240,,,69174767,2017-07-08 00:00:00.0,,,NULL
7500862,66665,103499,成都金牛万达广场,1,1000383,成都区域,,,S1008,,,69174721,2012-12-22 00:00:00.0,,,NULL
7500863,1772681744,132506,铜陵万达广场,1,1001633,合肥区域,,,S1239,,,69174764,2017-11-10 00:00:00.0,,,NULL
7500864,1436506863,126358,阜阳颍泉万达广场,1,1001150,合肥区域,,,S1156,,,69174764,2017-06-16 00:00:00.0,,,NULL
7500865,1436506764,126352,六安万达广场,1,1001154,合肥区域,,,S1157,,,69174764,2016-12-31 00:00:00.0,,,NULL
7500866,1113958797,121836,宿州万达广场,1,1001141,合肥区域,,,S1155,,,69174764,2016-12-02 00:00:00.0,,,NULL
7500867,1116347094,121883,瑶海万达广场,1,1001120,合肥区域,,,S1154,,,69174764,2016-09-09 00:00:00.0,,,NULL
7500868,1100460204,121332,亳州万达广场,1,1001117,合肥区域,,,S1153,,,69174764,2016-08-12 00:00:00.0,,,NULL
7500869,786166164,116609,阜阳万达广场,1,1001006,合肥区域,,,S1130,,,69174764,2015-08-29 00:00:00.0,,,NULL
7500870,331861891,112197,马鞍山万达广场,1,1000708,合肥区域,,,S1048,,,69174764,2014-09-19 00:00:00.0,,,NULL
7500871,27089500,107024,蚌埠万达广场,1,1000623,合肥区域,,,S1036,,,69174764,2013-11-29 00:00:00.0,,,NULL
7500872,67122,103956,芜湖镜湖万达广场,1,1000387,合肥区域,,,S1121,,,69174764,2012-09-07 00:00:00.0,,,NULL
7500874,67100,103934,合肥包河万达广场,1,1000110,合肥区域,,,S1034,,,69174764,2010-12-23 00:00:00.0,,,NULL
7500875,691039325,115671,西宁万达广场,1,1001115,银川区域,,,S1145,,,553847470,2016-07-29 00:00:00.0,,,NULL
7500876,396443070,113112,银川西夏万达广场,1,1000704,银川区域,,,S1087,,,553847470,2014-07-18 00:00:00.0,,,NULL
7500877,197830134,111414,兰州城关万达广场,1,1000765,银川区域,,,S1095,,,553847470,2014-10-24 00:00:00.0,,,NULL
7500878,66632,103466,银川金凤万达广场,1,1000283,银川区域,,,S1088,,,553847470,2011-09-09 00:00:00.0,,,NULL
7500879,1253804163,123696,十堰万达广场,1,1001116,武汉区域,,,S1164,,,69174690,2016-08-05 00:00:00.0,,,NULL
7500881,783308661,116434,黄石万达广场,1,1000887,武汉区域,,,S1131,,,69174690,2015-07-03 00:00:00.0,,,NULL
7500882,483387920,113643,荆州万达广场,1,1000764,武汉区域,,,S1122,,,69174690,2014-09-20 00:00:00.0,,,NULL
7500885,66328,103162,武汉经开万达广场,1,1000301,武汉区域,,,S1072,,,69174690,2011-08-27 00:00:00.0,,,NULL
7500886,66307,103141,武汉菱角湖万达广场,1,1000292,武汉区域,,,S1073,,,69174690,2010-12-18 00:00:00.0,,,NULL
7500887,66379,103213,宜昌万达广场,1,1000298,武汉区域,,,S1107,,,69174690,2010-11-27 00:00:00.0,,,NULL
7500888,599700425,114616,渭南万达广场,1,1000984,西安区域,,,S1080,,,69174705,2015-08-07 00:00:00.0,,,NULL
7500890,69810917,107891,西安大明宫万达广场,1,1000603,西安区域,,,S1081,,,69174705,2013-11-22 00:00:00.0,,,NULL
7500891,66582,103416,西安碑林区万达广场,1,1000293,西安区域,,,S1083,,,69174705,2008-05-16 00:00:00.0,,,NULL
